,dist type,sse,params
27,<scipy.stats._continuous_distns.gennorm_gen object at 0x0000018DEFBF80F0>,0.0072327404740951465,"(0.3599980211695065, 1514.0000000000005, 0.37737916377598957)"
29,<scipy.stats._continuous_distns.genextreme_gen object at 0x0000018DEFB77E10>,0.007500894756975714,"(1.843881962330625, 1473.992582607563, 73.7689552893471)"
21,<scipy.stats._continuous_distns.foldcauchy_gen object at 0x0000018DEFB67198>,0.009136214186270798,"(106.26722382731728, -2.5875004021806287, 14.274397899790948)"
33,<scipy.stats._continuous_distns.genhalflogistic_gen object at 0x0000018DEFB8B978>,0.00973007641736017,"(2.565154003995774, -56.43135144960809, 4028.398269171457)"
46,<scipy.stats._continuous_distns.johnsonsb_gen object at 0x0000018DEFBA7390>,0.00997296070709498,"(-1.3078344934910446, 0.14601396529796878, -276.51216163511947, 1790.5121616351196)"
11,<scipy.stats._continuous_distns.dgamma_gen object at 0x0000018DEFB57470>,0.010582224382648888,"(0.19192617107778076, 1513.9999999999995, 332.0757479917985)"
24,<scipy.stats._continuous_distns.frechet_l_gen object at 0x0000018DEFB77048>,0.010638361529482264,"(0.4277361676261141, 1514.0000000000002, 579.9667585830543)"
84,<scipy.stats._continuous_distns.weibull_max_gen object at 0x0000018DEFB67B38>,0.010638361529482264,"(0.4277361676261141, 1514.0000000000002, 579.9667585830543)"
3,<scipy.stats._continuous_distns.beta_gen object at 0x0000018DEFB2C828>,0.011157422764074677,"(0.3586786340269742, 0.04902891631698893, -68.95467963324316, 1582.9546796332434)"
26,<scipy.stats._continuous_distns.genpareto_gen object at 0x0000018DEFB77550>,0.011587599690030054,"(-2.1054758517264576, -7.396842642686287, 3203.264313077054)"
12,<scipy.stats._continuous_distns.dweibull_gen object at 0x0000018DEFB57358>,0.011799059374597175,"(0.1379281023467429, 1514.0000000000005, 283.92965508907764)"
64,<scipy.stats._continuous_distns.pearson3_gen object at 0x0000018DEFBCDD30>,0.011803937841134303,"(-2.5271127132126745, 1021.4956540799337, 622.3069969435462)"
65,<scipy.stats._continuous_distns.powerlaw_gen object at 0x0000018DEFBCDFD0>,0.011813982446107162,"(1889831831.686644, -221008726759.14514, 221008728273.14514)"
57,<scipy.stats._continuous_distns.mielke_gen object at 0x0000018DEFBC0470>,0.011898155899516228,"(643.5685284375858, 7887828.568767875, -78909.66541320659, 80424.23946807155)"
52,<scipy.stats._continuous_distns.loggamma_gen object at 0x0000018DEFBAD8D0>,0.012122727426627195,"(7.922279901663168e-08, 1514.000250215447, 1.2251673506129917e-05)"
25,<scipy.stats._continuous_distns.genlogistic_gen object at 0x0000018DEFB772B0>,0.012205104245859353,"(0.01248694579406686, 1522.469952287419, 2.03649644534846)"
2,<scipy.stats._continuous_distns.arcsine_gen object at 0x0000018DEFB2C8D0>,0.01223956313016213,"(-76.75697793288943, 1590.7569779328896)"
30,<scipy.stats._continuous_distns.gausshyper_gen object at 0x0000018DEFB97A20>,0.01241274358466633,"(1.2208120871262749, 0.6218963501106556, 1.0683262302312517, 1.0519444077509315, -76.74960581338719, 1590.7496058133875)"
50,<scipy.stats._continuous_distns.laplace_gen object at 0x0000018DEFBA7CC0>,0.012522835153811395,"(1514.0000000000464, 154.6448298136542)"
6,<scipy.stats._continuous_distns.burr_gen object at 0x0000018DEFB4F0B8>,0.012729534862552128,"(243.58588692036864, 0.0174487310477879, -8.434717768997341, 1546.583002885781)"
