Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
3288.57,2381.06,1124.58,0,0,0,1514,1505,1514
2621.99,2052.18,1618.13,7.424,0.057,0.464,1514,76,1514
2915.77,2274.95,1735.76,20.35,0.044,0.432,1271,102,1514
1315.82,3077.37,1049.94,3.195,35.623,0.663,84,1514,1514
1215.27,2932.66,1616.69,1.328,1.467,0.557,1514,1514,1514
2101.24,2648.67,1531.38,0.067,0.081,0.632,1514,1514,1514
2906.04,2956.33,1308.97,0.481,0.196,0.451,1514,1514,1514
2962.12,3470.85,1989.25,0.034,0.333,0.363,1514,1514,1514
3061.65,1417.38,1188.77,0.067,0.115,0.457,1514,1514,1514
3047.03,2463.26,491.744,0.463,0.227,0.495,1514,76,1514
2999.03,2570.98,1847.11,0.03,0.21,0.476,1514,1514,1514
2904.33,3051.98,1980.92,0.085,0.228,0.776,1514,1514,1514
2989.42,2876.63,1824.95,0.754,0.644,0.365,1514,594,1514
3101.52,2803.35,1929.5,0.555,0.201,0.768,1514,82,1514
2888.85,1919.93,1639.99,5.01,0.231,1.085,1514,74,1514
3030.02,2752.71,1584.45,0.03,0.227,0.394,1514,74,1514
3518.62,2745.73,1895.01,8.188,0.242,0.489,1514,102,1514
1504.72,2009.47,1631.11,1.257,0.037,0.578,358,372,1514
3140.74,1618.83,1884.17,15.506,26.337,0.466,1078,1514,1514
2620.48,1725.29,1247.7,0.466,8.457,0.528,498,1514,1514
3035.74,2116.83,1801.36,0.197,3.171,0.468,1514,1514,1514
2937.65,2262.5,1648.79,0.205,0.655,0.565,1514,1514,1514
2761.25,2852.71,1821.7,0.188,0.231,0.484,1514,1514,1514
3097.12,3009.01,1826.67,0.187,0.245,0.586,1514,1514,1514
3108.54,3193.84,1635.66,0.566,0.212,0.472,1514,1514,1514
2672.7,1931.16,1659.94,0.1,0.239,0.527,1514,1449,1514
3284.47,2875.45,1850.9,1.722,0.182,0.573,1514,76,1514
3478.26,1941.02,1812.85,20.293,0.213,0.319,1514,128,267
2951.55,1393.01,1658.05,9.097,0.241,0.377,1514,1514,985
3031.92,1281.62,1840.73,0.509,0.613,0.37,1514,1514,409
1337.24,1926.89,1455.48,0.19,0.205,29.295,1514,1514,236
1410.14,1812.1,924.024,0.197,0.224,35.385,1514,1514,985
