Time (s),Distance (m),Height (m),Speed (m/s),avg_Time (s),avg_Packet Interval (ms),avg_Packet Length (bytes),avg_Time (s)2,avg_Packet Interval (ms)2,avg_Packet Length (bytes)2,Time (s)2,Distance (m)2,Height (m)2,Speed(m/s)2,avg_Packet Interval (ms)3,avg_Packet Length (bytes)3
0,0.886,0,0,0.474772588,53.87629412,99.29411765,0.521599212,3.379119863,1401.996575,0,0.886,0,0,14.92440909,92
1,1.134,0,0,1.3920635,63.3981875,112.875,1.491816183,4.181957447,1386.991489,1,1.134,0,0,15.22115385,105.1230769
2,1.274,0.08,0.29,2.356670783,44.76373913,104.3043478,2.483763907,4.008529183,1408.840467,2,1.274,0.08,0.29,11.9975,89.83333333
3,0.25,0.47,0.4,3.442843824,41.67282353,104.1764706,3.480715032,7.780579365,1291.31746,3,0.25,0.47,0.4,16.00434921,93.07936508
4,0.183,0.93,0.44,4.447769889,63.15333333,116,4.5107375,7.834822034,1269.669492,4,0.183,0.93,0.44,15.13409091,92.51515152
5,0.247,1.2,0.05,5.423735556,66.24922222,100.6111111,5.478467131,5.689994764,1366.073298,5,0.247,1.2,0.05,15.65177778,105.6031746
6,0.337,1.73,1.21,6.463848111,47.73361111,97.05555556,6.508132985,3.889320463,1395.490347,6,0.337,1.73,1.21,13.73225676,91.86486486
7,0.438,3.51,1.98,7.349570478,41.33756522,108.1304348,7.498613833,3.804496124,1425.496124,7,0.438,3.51,1.98,12.7269359,90.05128205
8,0.428,5.6,1.99,8.476491286,80.96142857,116.4285714,8.462566402,3.673553506,1407.107011,8,0.428,5.6,1.99,15.23543077,91.98461538
9,0.595,7.6,1.94,9.343219333,41.49738889,106.5,9.485607326,3.74988015,1419.333333,9,0.595,7.6,1.94,14.86851471,103.8823529
10,0.916,9.59,1.76,10.42070873,68.07766667,92.4,10.49461077,3.78345283,1409.407547,10,0.916,9.59,1.76,15.42736923,92.30769231
11,0.95,10.65,0.23,11.52572874,64.98278947,115.7368421,11.47963452,3.933625984,1420.637795,11,0.95,10.65,0.23,15.29832308,91.84615385
12,0.51,10.68,0,12.50458783,43.47817391,101.0869565,12.46017155,3.772939623,1401.332075,12,0.51,10.68,0,12.33324691,91.41975309
13,0.486,10.63,0.03,13.4965566,53.69746667,85.73333333,13.4869386,3.720040146,1410.233577,13,0.486,10.63,0.03,14.609,104.5588235
14,0.785,10.63,0.092195445,14.53957207,87.64664286,85.14285714,14.51351871,3.828965116,1395.616279,14,0.785,10.63,0.092195445,15.79190625,92.390625
15,1.105,10.7,1.177115118,15.48151786,58.00971429,85.5,15.48324736,3.761565056,1402.973978,15,1.105,10.7,1.177115118,14.82334328,91.92537313
16,2.865,10.67,2.502978226,16.526999,76.93038462,96.92307692,16.51730613,3.221064516,1414.732258,16,2.865,10.67,2.502978226,15.46523077,92.30769231
17,4.355,10.7,2.740894015,17.255035,67.3271,106.1,17.25483892,3.925609023,1406.233083,17,4.355,10.7,2.740894015,13.73944444,102.4027778
18,7.808,10.7,2.331051265,18.45077806,30.26912766,103.9574468,18.38584937,5.113339416,1414.989051,18,7.808,10.7,2.331051265,14.020125,94.80555556
19,10.176,10.7,2.559316315,19.51392219,65.4646875,116.75,19.52885144,4.531701681,1368.453782,19,10.176,10.7,2.559316315,15.71377778,92.65079365
20,12.816,10.8,2.709686329,20.51595782,53.87852941,109.9411765,20.49014519,3.683527881,1403.710037,20,12.816,10.8,2.709686329,15.23569697,92.16666667
21,15.103,10.82,1.697557068,21.58828088,60.06188235,95.29411765,21.50600228,3.908383721,1417,21,15.103,10.82,1.697557068,14.99934328,104.641791
22,15.5,10.8,0.14,22.53916163,66.0146875,94.25,22.49794543,4.005552419,1385.677419,22,15.5,10.8,0.14,14.20791549,90.97183099
23,15.396,10.78,0,23.59476286,70.13492857,98.07142857,23.47904374,3.63792,1402.789091,23,15.396,10.78,0,15.33154688,92.15625
24,15.314,10.74,0,24.63613164,71.63671429,89.14285714,24.52924088,3.651586957,1403.333333,24,15.314,10.74,0,15.17204545,92.56060606
25,14.868,10.7,1.013903348,25.5940174,68.25426667,100.4666667,25.51465798,4.1374375,1385.754167,25,14.868,10.7,1.013903348,15.13565672,104.0895522
26,12.565,10.68,2.601614883,26.57056533,49.23485714,129,26.45947939,3.535452632,1431.642105,26,12.565,10.68,2.601614883,15.26656923,92.41538462
27,9.562,10.67,2.979412694,27.58886389,54.63694444,110.5,27.48303897,3.280731148,1418.442623,27,9.562,10.67,2.979412694,14.35842857,91.24285714
28,6.526,10.66,2.928822289,28.58331882,61.09429412,105.7058824,28.52206357,3.738423077,1413.119231,28,6.526,10.66,2.928822289,15.70579688,92.5
29,3.833,10.84,2.796515689,29.59673911,52.59473684,124.0526316,29.47752255,3.808271375,1399.453532,29,3.833,10.84,2.796515689,15.86350794,106.5714286
30,2.026,10.9,2.680932674,30.62227623,70.72792308,89.61538462,30.48475039,7.340867188,1296.140625,30,2.026,10.9,2.680932674,15.84293548,92.69354839
31,2.833,10.8,2.627641528,31.47852011,57.39889474,111.4210526,31.52014551,7.148022901,1331.648855,31,2.833,10.8,2.627641528,15.83903125,92.390625
32,5.136,10.83,2.603843313,32.41421174,48.84363158,94.89473684,32.46744528,4.853308696,1382.486957,32,5.136,10.83,2.603843313,12.53665823,91.16455696
33,7.683,10.9,2.632261385,33.45960578,56.73377778,107.8333333,33.4774601,4.304111111,1376.794872,33,7.683,10.9,2.632261385,14.00770833,103.5555556
34,10.146,10.98,2.504815362,34.47725564,64.09235714,89.28571429,34.51741047,4.650875598,1390.779904,34,10.146,10.98,2.504815362,15.16889394,92.56060606
35,12.596,11.04,2.431234254,35.50024272,63.5525,106.7222222,35.45225213,3.760349442,1389.747212,35,12.596,11.04,2.431234254,15.84326984,93.25396825
36,14.862,10.97,2.160948866,36.55517364,69.81378571,93,36.53814823,6.740688742,1364.708609,36,14.862,10.97,2.160948866,15.18569697,92
37,15.915,10.98,0.352420204,37.42587505,51.74478947,106.7894737,37.50412491,3.945131474,1411.681275,37,15.915,10.98,0.352420204,14.76780882,104.1617647
38,15.65142857,11.08571429,0.111574995,38.62154684,49.90794737,101.8947368,38.55544555,7.128827338,1329.726619,38,15.65142857,11.08571429,0.111574995,13.56131944,93.22222222
39,15.581,10.99,0.092195445,39.28015286,48.09166667,96.23809524,39.52568805,7.542712121,1298.977273,39,15.581,10.99,0.092195445,15.52310606,91.95454545
40,15.661,10.9,0.04,40.46822062,78.65376923,92,40.5142878,4.460455752,1371.893805,40,15.661,10.9,0.04,15.35814063,92.15625
41,15.739,11.01,0.480936586,41.48607719,63.66,101.5,41.51196772,3.631476364,1415.334545,41,15.739,11.01,0.480936586,14.86680882,103.7794118
42,15.755,12.15,1.461677119,42.43770706,56.41227778,106.2777778,42.51525019,3.584172662,1407.859712,42,15.755,12.15,1.461677119,14.14743662,91.02816901
43,15.707,13.79,1.7,43.51296333,48.7892381,122.1904762,43.46839056,3.743087912,1426.732601,43,15.707,13.79,1.7,15.46520313,92.671875
44,15.733,15.66,1.85,44.44561629,65.43957143,107.5714286,44.49723028,3.584886861,1417.90146,44,15.733,15.66,1.85,15.69159375,92.390625
45,15.741,17.6,1.950025641,45.42667856,56.81172222,105.4444444,45.49988244,4.047051793,1420.350598,45,15.741,17.6,1.950025641,15.08683333,104.7878788
46,15.802,19.67,1.931269013,46.52181967,67.22806667,95.06666667,46.50543147,3.752135849,1393.486792,46,15.802,19.67,1.931269013,15.47635385,92.30769231
47,15.88111111,21.56666667,1.966949133,47.40046875,52.6717,97.1,47.44444099,3.952284444,1391.915556,47,15.88111111,21.56666667,1.966949133,12.67437179,91.29487179
48,15.943,23.22,0.72,48.25820689,60.58844444,88.77777778,48.41302282,6.621470238,1353.613095,48,15.943,23.22,0.72,16.34022581,93.5
49,16.07,23.46,0.2,49.38134663,53.37296296,94.66666667,49.50945164,6.65115894,1313.192053,49,16.07,23.46,0.2,14.91637879,105.1818182
50,16.17,23.71,0.213775583,50.48110464,68.15264286,94.92857143,50.51138856,3.686169742,1401.0369,50,16.17,23.71,0.213775583,15.03808955,92.04477612
51,16.215,24.28,0.68,51.41768204,46.10952174,117.2608696,51.52396341,3.634316364,1408.861818,51,16.215,24.28,0.68,15.02138806,91.92537313
52,16.133,24.6,0.076157731,52.43715774,49.34584211,89.31578947,52.46824997,3.735790262,1415.973783,52,16.133,24.6,0.076157731,13.63608333,90.45833333
53,15.442,24.56,1.449310181,53.44126844,56.68877778,114.7777778,53.52248022,3.597543165,1421.086331,53,15.442,24.56,1.449310181,15.46413636,105.0151515
54,13.20555556,24.56666667,2.657530646,54.59251558,55.10984211,107.1052632,54.49088764,4.981079208,1375.217822,54,13.20555556,24.56666667,2.657530646,15.59448438,93.59375
55,10.973,24.5,2.844011252,55.3655136,65.3668,91.46666667,55.53711835,4.610502304,1382.78341,55,10.973,24.5,2.844011252,15.77966667,92.76190476
56,8.862,24.44,2.863564213,56.4575104,67.58013333,102.9333333,56.4995541,3.570425,1398.185714,56,8.862,24.44,2.863564213,15.49428125,92.5625
57,7.281,24.4,2.765863337,57.49258281,46.48947619,102.8095238,57.50364856,3.931379447,1408,57,7.281,24.4,2.765863337,13.84360274,102.4794521
58,6.559,24.45,2.765863337,58.53493138,61.962875,96.5,58.50393609,5.130841837,1352.193878,58,6.559,24.45,2.765863337,14.10957746,92.32394366
59,6.904,24.4,2.765935646,59.31227807,61.82526667,106.4666667,59.36012958,5.4133,1386.888235,59,6.904,24.4,2.765935646,13.93890141,92.47887324
60,8.1,24.42,2.787220838,60.58753794,62.23858824,91.58823529,60.49166417,8.89492562,1230.958678,60,8.1,24.42,2.787220838,16.93913559,95.16949153
61,9.955,24.575,2.789713247,61.41220575,59.775,103,61.45295123,11.47091667,1332.857143,61,9.955,24.575,2.789713247,15.25445455,104.5606061
62,11.879,24.54,2.750563579,62.69738167,401.4853333,140,62.49292481,29.37453125,1233,62,11.879,24.54,2.750563579,13.36958667,95.61333333
63,14.14875,24.6375,2.728810409,63.87958439,31.40902778,95.94444444,63.85231964,19.62416071,1143.071429,63,14.14875,24.6375,2.728810409,13.27330986,97.33802817
64,16.219,24.65,1.791200715,64.25641822,24.01380488,95.95121951,64.48920301,6.096530488,1293.414634,64,16.219,24.65,1.791200715,14.35595946,92.72972973
65,16.689,24.7,0.114017543,65.37786581,58.31475,100.4375,65.53574525,4.97739801,1372.034826,65,16.689,24.7,0.114017543,15.23061538,104.7230769
66,16.66,24.73,0.25,66.51690944,56.67233333,95.77777778,66.52249118,3.939787402,1389.720472,66,16.66,24.73,0.25,14.67070588,91.48529412
67,16.656,25.68,1.55,67.35620045,53.26215,122.95,67.54808956,3.755515038,1411.68797,67,16.656,25.68,1.55,14.4841,91.08571429
68,16.752,27.57,1.991331213,68.46961447,56.33317647,115.2941176,68.53519002,5.589407821,1348.865922,68,16.752,27.57,1.991331213,15.25266154,92.41538462
69,16.924,29.64,2.014968982,69.44178875,64.132,98.0625,69.50305457,3.788103053,1400.324427,69,16.924,29.64,2.014968982,15.1160303,104.2272727
70,16.992,31.65,1.941648784,70.46291193,57.14546667,110,70.49895297,3.904948413,1400.714286,70,16.992,31.65,1.941648784,15.47736923,92.64615385
71,16.982,33.51,1.9,71.44995433,73.17853333,104.8,71.46559638,3.68002583,1394.428044,71,16.982,33.51,1.9,15.64703125,92.5625
72,16.967,35.51,1.93,72.42550665,61.55982353,92.82352941,72.50087767,3.809161654,1404.81203,72,16.967,35.51,1.93,14.12212857,90.81428571
73,16.989,37.6,1.92,73.42675971,50.78335294,104.0588235,73.4982177,4.220658228,1391.56962,73,16.989,37.6,1.92,15.17704545,105.0757576
74,17.03,39.63,1.97,74.50093047,64.37770588,110.0588235,74.46542835,3.94784252,1395.590551,74,17.03,39.63,1.97,15.22806061,92.16666667
75,17.056,41.64,1.78,75.49714253,60.1056,107.8,75.50487835,4.228726891,1396.277311,75,17.056,41.64,1.78,15.71820635,92.65079365
76,17.076,43.46,1.67,76.41523,51.21841176,100.8235294,76.49491092,4.624957944,1387.864486,76,17.076,43.46,1.67,15.30233333,92.16666667
77,17.08,45.22,1.55,77.47680944,73.0284375,99.125,77.45552872,4.367070175,1373.776316,77,17.08,45.22,1.55,13.93405556,102.3888889
78,17.089,46.8,1.42,78.50515677,66.63830769,89,78.52138115,4.657167442,1386.232558,78,17.089,46.8,1.42,15.48476923,92.64615385
79,17.11,48.21,1.21,79.48146071,71.48385714,99,79.49032568,5.186195876,1376.35567,79,17.11,48.21,1.21,15.38023077,92.30769231
80,17.169,49.17,0.59,80.54646829,72.84078571,93.35714286,80.46493335,4.456197309,1398.430493,80,17.169,49.17,0.59,15.21246154,92.41538462
81,17.198,49.4,0.01,81.51413183,60.16655556,126.2222222,81.53762105,4.813576923,1390.129808,81,17.198,49.4,0.01,15.21789394,104.5151515
82,17.194,49.4,0,82.47745435,56.24452941,91.52941176,82.50534843,6.1552,1337.278788,82,17.194,49.4,0,13.98763889,90.91666667
83,17.229,49.4,0.01,83.59300093,72.80592857,97.07142857,83.44944626,5.226837696,1367.842932,83,17.229,49.4,0.01,15.3195625,92.5625
84,16.699,49.37,1.439618005,84.54409063,66.523125,92.125,84.54744397,4.835173913,1371.463768,84,16.699,49.37,1.439618005,15.14359701,91.76119403
85,14.428,49.33,2.660018797,85.510517,62.56158824,94.11764706,85.50881736,4.591453704,1384.828704,85,14.428,49.33,2.660018797,13.55571233,105.8767123
86,11.96,49.27,2.816025568,86.56930563,57.0163125,96.75,86.48058446,4.190573222,1389.192469,86,11.96,49.27,2.816025568,15.37430303,92.56060606
87,9.512,49.2,2.902860658,87.6004684,52.0939,106.55,87.5309179,4.23450211,1404.485232,87,9.512,49.2,2.902860658,14.39023188,90.92753623
88,7.28,49.2,2.909931271,88.56616133,54.85577778,112.5555556,88.49967574,4.871715686,1383.490196,88,7.28,49.2,2.909931271,15.22460606,92.56060606
89,5.706,49.2,2.843132076,89.60460121,54.46721053,106.1578947,89.48225162,4.389091304,1396.852174,89,5.706,49.2,2.843132076,15.13710769,104.3230769
90,5.324,49.2,2.790143365,90.59739653,66.8904,103.6,90.54259426,4.277716738,1378.553648,90,5.324,49.2,2.790143365,15.53606154,92.64615385
91,6.333,49.2,2.789910393,91.66648529,72.40457143,98.35714286,91.51139498,4.872692683,1381.365854,91,6.333,49.2,2.789910393,15.42227692,92.30769231
