Time (s),Packet Interval (ms)
0,0
0,4.357
0,9.521
0,24.21
0,27.704
0,11.905
0,20.534
0,4.567
0,26.485
0,1.505
0,0.285
0,37.437
0,14.24
0,56.897
0,33.617
0,74.609
0,13.393
0,27.653
0,21.423
0,27.738
0,9.134
0,18.896
0,21.025
1,30.388
1,10.232
1,20.304
1,50.904
1,12.113
1,40.428
1,49.484
1,11.681
1,0.092
1,38.45
1,7.625
1,48.966
1,10.235
1,40.947
1,34.104
1,22.695
1,4.063
1,41.094
1,5.873
1,0.064
1,34.573
1,32.551
1,12.684
1,17.491
1,1.818
1,26.587
1,31.474
1,7.91
1,3.698
1,32.909
1,3.926
1,16.938
1,51.724
1,10.217
1,21.299
1,45.892
1,162.013
2,20.885
2,38.125
2,12.192
2,50.673
2,11.683
2,12.923
2,9.441
2,26.938
2,27.726
2,12.381
2,17.859
2,10.206
2,5.93
2,2.129
2,1.547
2,18.845
2,5.709
2,27.277
2,6.457
2,29.018
2,25.796
2,10.379
2,28.559
2,4.214
2,40.498
2,33.24
2,6.178
2,11.115
2,7.697
2,0.068
2,14.663
2,22.419
2,27.11
2,11.254
2,16.849
2,13.477
2,8.08
2,28.704
2,17.301
2,12.363
2,9.372
2,19.398
2,0.869
2,45.892
2,10.248
2,49.798
2,3.877
2,31.794
2,33.518
2,22.646
2,25.806
2,27.975
2,15.109
2,28.37
3,22.106
3,0.968
3,23.589
3,25.793
3,20.677
3,40.857
3,10.246
3,34.802
3,14.937
3,21.344
3,15.466
3,5.7
3,37.332
3,10.352
3,26.093
3,30.273
3,9.652
3,19.994
3,28.547
3,26.271
3,21.432
3,0.922
3,19.612
3,32.175
3,19.428
3,23.99
3,7.688
3,4.59
3,36.581
3,10.306
3,5.438
3,24.328
3,21.511
3,6.272
3,28.309
3,15.632
3,4.757
3,5.402
3,20.357
3,15.305
3,2.831
3,1.441
3,1.064
3,1.162
3,1.135
3,20.509
3,20.033
3,14.279
3,23.388
3,14.554
3,10.802
3,9.51
3,23.059
3,21.696
3,20.282
3,22.849
3,14.203
3,9.333
3,11.565
3,8.784
4,20.829
4,30.938
4,6.713
4,3.593
4,23.404
4,20.441
4,20.332
4,20.28
4,20.371
4,28.746
4,33.817
4,24.738
4,8.427
4,6.443
4,37.77
4,10.371
4,26.091
4,4.296
4,6.396
4,17.581
4,22.784
4,32.304
4,11.037
4,20.566
4,27.91
4,2.707
4,30.916
4,17.156
4,49.395
