Packet Length (Bytes),Latency (ms),Latency (ms)2
50,46.9,135
50,45.1,66.3
50,42.9,64.2
50,41.2,62
50,60.1,60.1
50,57.9,58
50,54.7,54.5
50,53.6,62.1
50,52.8,50.2
50,50.2,60.7
50,52.6,48.6
50,44.5,65.8
50,43.2,67.3
50,49.9,62.6
50,60.2,61.2
50,33.1,57.9
50,51.3,57.5
50,51.2,53.9
50,51.8,62.3
50,44.3,52.2
50,43.8,50.2
50,49.6,47.7
50,49.6,65.8
50,52.5,64.1
50,55.5,62.3
50,56.5,60.1
50,49.7,56.7
50,47,56.2
50,47.9,54
100,59.8,53.8
100,59.6,52.6
100,66.2,53.5
100,47.4,52.2
100,59.2,70.2
100,62.3,68
100,55.5,62.5
100,49.1,63.4
100,63.7,61.2
100,55.5,55.8
100,58.3,54.8
100,51.8,53.1
100,51.3,51
100,49,49
100,63.1,66.8
100,59.7,65.4
100,43.8,61.9
100,60.4,61.1
100,55.6,59.4
100,52.4,56.9
100,50.8,55.5
100,49,53.7
100,47,56
100,51.3,48.7
100,54.8,48.1
100,44.2,65.6
100,44.3,67.6
100,41.5,61.1
100,59.8,59.7
100,61.5,66.2
250,46.5,65.9
250,57.5,60.8
250,55.9,51
250,53,48.3
250,51.1,67.7
250,49.1,73.6
250,56,64.7
250,44.7,64.5
250,65.6,65.2
250,42.2,54.1
250,41.6,41.3
250,58.9,49.4
250,56.4,66.8
250,54.5,65.2
250,60.6,63.2
250,63.9,63.7
250,48,59.5
250,46.5,62.5
250,59.6,60.4
250,41.4,51.1
250,50.6,42.7
250,55.3,67.6
250,41.2,64.9
250,61.5,70.6
250,58.4,56.6
250,63.8,52
250,59.2,57
250,56.4,52.7
250,48.7,58.6
250,47.2,49.2
500,44.6,49.2
500,65.1,69.2
500,48.3,58.9
500,45,66.4
500,41.9,58.3
500,59.2,54.7
500,59,52.1
500,55.9,50.4
500,52.9,49.4
500,59.2,68.5
500,49.8,66.4
500,49.3,64.4
500,46.4,62.1
500,44,59.9
500,44.6,55.9
500,41.9,54.5
500,68.8,54.4
500,56.9,54.7
500,54.3,51.1
500,50.7,69.7
500,50.3,75.6
500,45.6,66.1
500,40.5,64.1
500,55.9,61.6
500,58.8,60
500,54.8,58.2
500,57.1,55.2
500,46.4,50.9
500,58.7,51.9
500,68,72.3
750,75.4,57.8
750,77.5,54.7
750,52.1,56.5
750,67.3,55.9
750,47.9,54.6
750,45.9,53.9
750,42.9,53.8
750,41.9,50.8
750,79.3,50.1
750,76.6,50.6
750,75.8,48.2
750,75.2,67.3
750,74.2,66.6
750,70.7,68
750,69,64.8
750,66.8,64.1
750,73.2,62.4
750,73.7,62
750,63.2,60.9
750,61.1,61.7
750,59.7,59.1
750,57.1,69.8
750,65.2,55.8
750,52.7,54
750,52,62.3
750,51.3,52.9
750,48.4,61.7
750,53.5,68.7
750,79.3,71.8
750,54.8,73
1000,45.2,46.1
1000,78.4,64.4
1000,74.7,80.6
1000,74.6,63
1000,73,60.8
1000,73.2,61.8
1000,70.1,61
1000,79,58.5
1000,268,57.1
1000,67.6,64.6
1000,39.8,52.8
1000,42.2,50.5
1000,79.6,65.6
1000,77.9,71.7
1000,78.3,62.2
1000,79.1,63.6
1000,77.8,61.9
1000,78.4,63.3
1000,93.3,59.3
1000,84.6,66
1000,90.3,64.9
1000,73.4,54.3
1000,70.5,69.4
1000,71.2,67.9
1000,70.2,70.1
1000,70,66.3
1000,67.8,58.8
1000,66.1,68.6
1000,74.9,65.3
1000,64.7,63
1250,71.9,41.4
1250,62.8,60.2
1250,52.1,56.9
1250,49.3,54.8
1250,47,58.2
1250,79,53.5
1250,47.9,50
1250,68,78.6
1250,74.8,65.4
1250,76.1,66.2
1250,60.8,63.3
1250,59.4,62.9
1250,52.3,59.1
1250,77.9,59.7
1250,57.6,64.9
1250,64.3,63.4
1250,48.8,62.7
1250,65.3,57.8
1250,47.1,49.4
1250,54.4,74.3
1250,43.7,72.2
1250,45.9,64.3
1250,88.9,63.5
1250,354,68.4
1250,55.9,57.8
1250,58.9,61.3
1250,53.6,55.4
1250,55.3,54.2
1250,50.9,58.4
1250,57.1,67.9
1500,61.5,53.2
1500,81,52.7
1500,72.1,58.2
1500,68.2,76.3
1500,67.2,74.5
1500,76.3,74.4
1500,61.4,63.8
1500,60.2,60.9
1500,57.5,65
1500,56.2,77.7
1500,61.1,61.1
1500,54.2,60.6
1500,58,71.3
1500,46.9,59.8
1500,45.8,71.4
1500,43.1,67.8
1500,90,67.1
1500,80.3,74
1500,103,65.1
1500,76.6,60.8
1500,77,59
1500,80.2,58.9
1500,75.1,55.1
1500,69,53.5
1500,67.2,55.1
1500,60.3,76.5
1500,60.3,77.2
1500,82,65.2
1500,47.3,87.4
,92.8,
