avg_Time (s),avg_Speed (m/s),avg_Distance (m),Distance (m),avg_Height (m),Height (m)
0.533846154,0.311538462,0.146923077,0,0.373076923,0
1.4793125,0.4375,0.115,0,0.75,0
2.510692308,0.428205128,0.097435897,0,1.230769231,2
3.549225806,1.377419355,0.120645161,0,2.003225806,2
4.561677419,2.970967742,0.220645161,0,4.058064516,4
5.52290625,2.378125,0.145,0,6.7625,6
6.505633333,1.34,0.118333333,0,8.96,8
7.47,0.14516129,0.13516129,0,9.590322581,10
8.482,0.585714286,0.121428571,0,9.6,10
9.495774194,2.358709677,1.495806452,2,9.6,10
10.5047,4.214,5.198,6,9.66,10
11.551375,5.7275,10.20875,10,9.85,10
12.535375,5.42625,16.44,16,10.025,10
13.48985185,2.268518519,20.26333333,20,9.981481481,10
14.37436667,0.297,21.32366667,22,9.946666667,10
15.45272,0.5592,21.3216,22,10.016,10
16.53610714,1.477142857,20.08571429,20,10.11428571,10
17.51316667,1.342,18.62933333,18,10.03333333,10
18.52721875,1.19125,17.225,18,10.0125,10
19.58539286,1.022857143,16.19571429,16,10.05714286,10
20.54645161,1,15.1216129,16,10.1,10
21.47613793,1,14.11344828,14,10.1,10
22.49278125,0.9625,13.0590625,14,10.1,10
23.50275,0.917142857,12.14857143,12,10.1,10
24.55203571,0.939642857,11.13321429,12,10.14285714,10
25.458,0.96,10.23,10,10.1,10
26.48574286,0.941142857,9.223142857,10,10.1,10
27.42085714,0.942857143,8.278571429,8,10.1,10
28.507,0.945625,7.388125,8,10.1,10
29.5285625,0.94,6.3775,6,10.1,10
30.46115152,0.941212121,5.52969697,6,10.1,10
31.41836667,0.94,4.719333333,4,10.1,10
32.51870968,0.963225806,3.869354839,4,10.1,10
33.54548276,0.958275862,3.215172414,4,10.1,10
34.53796774,0.986451613,2.697419355,2,10.1,10
35.44782143,0.991428571,2.592142857,2,10.1,10
36.51634375,0.9425,2.78,2,10.1,10
37.49722581,0.94,3.188064516,4,10.07419355,10
38.5799375,0.97375,3.98375,4,10.025,10
39.56271429,0.952857143,4.737857143,4,10.02142857,10
40.49635294,0.961176471,5.643529412,6,10.02352941,10
41.50891176,0.94,6.520882353,6,10,10
42.53894286,1.012,7.493428571,8,9.988571429,10
43.489625,0.9625,8.406875,8,10,10
44.5049,0.948,9.315333333,10,10,10
45.50915152,0.989090909,10.23848485,10,10,10
46.50747059,1,11.24058824,12,9.976470588,10
47.52256,1,12.0976,12,10,10
48.47071429,1,13.10942857,14,9.988571429,10
49.51363889,1,14.06333333,14,9.961111111,10
50.50914286,1,14.98464286,14,10,10
51.48629032,1,16.00709677,16,9.983870968,10
52.46551613,1,16.98870968,16,9.912903226,10
53.49716667,1,17.96333333,18,9.944444444,10
54.5061875,1.0175,18.90125,18,9.984375,10
55.47584,0.888,19.7256,20,9.996,10
56.46709677,1.090322581,19.84548387,20,10.92903226,10
57.6573125,0.971875,19.71125,20,11.9125,12
58.5000303,0.936363636,19.66060606,20,12.99090909,12
59.45826667,0.986666667,19.62333333,20,14.20666667,14
60.48303333,0.913333333,19.63933333,20,15.14666667,16
61.48578125,0.9875,19.6528125,20,16.109375,16
62.53186207,0.9,19.69758621,20,17.01034483,18
63.52228571,0.964285714,19.70928571,20,18.175,18
64.531625,0.9,19.68875,20,19.1125,20
65.57042857,0.942857143,19.69714286,20,20.08571429,20
66.55162069,0.934482759,19.71827586,20,21.20344828,22
67.5388125,0.9125,19.72125,20,22.296875,22
68.46263158,0.910526316,19.73052632,20,23.23157895,24
69.55782143,0.917857143,19.73571429,20,24.16785714,24
70.48603125,0.76125,19.6575,20,25.025,26
71.49290323,1.120967742,18.83225806,18,25.16129032,26
72.50082759,1.168275862,17.87482759,18,25.09655172,26
73.47588235,1.101470588,16.67117647,16,25,26
74.52966667,1.065,15.64166667,16,25,26
75.51085714,1.044285714,14.74785714,14,25.02857143,26
76.51696875,1.03,13.75125,14,25.0625,26
77.39646429,1.03,12.95,12,25.1,26
78.65433333,1.03,12.11047619,12,25.1,26
79.50741176,1.03,11.10823529,12,25.07058824,26
80.46821212,1.03,9.981515152,10,25,26
81.51606897,1.03,9.026551724,10,25,26
82.49544828,1.03,8.144137931,8,25.04137931,26
83.48777419,1.03,7.183225806,8,25.02903226,26
84.45758065,1.03,6.403225806,6,25.01612903,26
85.45836667,1.03,5.411666667,6,25,26
86.48368571,1.03,4.456285714,4,25,26
87.46553125,1.03,3.7709375,4,25,26
88.48452778,1.03,3.214722222,4,25,26
89.49625926,1.03,2.812962963,2,25,26
90.48023529,1.015294118,2.719411765,2,24.99705882,24
91.56159375,1.02375,2.91125,2,24.95,24
92.53851724,1.042413793,3.393103448,4,24.95862069,24
93.46984848,1.03,4.063333333,4,25,26
94.515625,1.03,4.945,4,25,26
95.51910345,1.03,5.808275862,6,25,26
96.48928571,1.050571429,6.706857143,6,24.94571429,24
97.50168966,1.097931034,7.557586207,8,25,26
98.49320588,1.08,8.522941176,8,25,26
99.4682963,1.08,9.432962963,10,25,26
100.5091852,1.084444444,10.36740741,10,25,26
101.5197931,1.03,11.52034483,12,25,26
102.4998276,1.03,12.54896552,12,25,26
103.5035667,1.03,13.51266667,14,24.98,24
104.4919677,1.03,14.42096774,14,24.9483871,24
105.5068788,1.03,15.42818182,16,25,26
106.51452,1.03,16.4548,16,25,26
107.4790882,1.03,17.39323529,18,25,26
108.5019697,1.03,18.45393939,18,24.91212121,24
109.5264828,1.03,19.32827586,20,24.9,24
110.5133824,0.885,20.22029412,20,24.97647059,24
111.4401071,1.1,20.26714286,20,25.85714286,26
112.5601667,1.066666667,20.21333333,20,26.46666667,26
113.4565357,1.053571429,20.18142857,20,27.62142857,28
114.5465833,1,20.18666667,20,28.46666667,28
115.4790588,0.982352941,20.22852941,20,29.68529412,30
116.5210833,0.911111111,20.26972222,20,31.14166667,32
117.542,0.9,20.29,20,32.02857143,32
118.475,0.9,20.31176471,20,32.74705882,32
119.4630286,0.9,20.32857143,20,34.12857143,34
120.4638125,0.9,20.36,20,35.025,36
121.5903667,0.9,20.37866667,20,35.79666667,36
122.4937333,0.9,20.38666667,20,37.20666667,38
123.5049063,0.9,20.41625,20,38.175,38
124.4684,0.9,20.44533333,20,39.09,40
125.5595,0.9,20.46,20,39.75,40
126.74325,0.9,20.45,20,39.9,40
127.5012258,0.9,20.44258065,20,40.68387097,40
