Time (s),Speed (m/s),Distance (m),Height (m)
0,0.4,1.85,0.2
0.058,0.4,0.04,0.2
0.075,0.4,0.04,0.2
0.151,0.3,0.05,0.3
0.162,0.3,0.05,0.3
0.174,0.3,0.05,0.3
0.178,0.3,0.05,0.3
0.295,0.2,0.06,0.3
0.306,0.2,0.06,0.3
0.321,0.2,0.06,0.3
0.335,0.2,0.06,0.3
0.505,0.3,0.08,0.4
0.604,0.3,0.09,0.4
0.618,0.3,0.09,0.4
0.62,0.3,0.09,0.4
0.747,0.3,0.09,0.4
0.758,0.3,0.09,0.4
0.762,0.3,0.09,0.4
0.815,0.3,0.09,0.4
0.851,0.3,0.1,0.5
0.854,0.3,0.1,0.5
0.863,0.3,0.1,0.5
0.943,0.4,0.11,0.5
0.958,0.4,0.11,0.5
0.962,0.4,0.11,0.5
0.965,0.4,0.11,0.5
1.049,0.4,0.11,0.6
1.054,0.4,0.11,0.6
1.067,0.4,0.11,0.6
1.074,0.4,0.11,0.6
1.16,0.4,0.12,0.6
1.164,0.4,0.12,0.6
1.17,0.4,0.12,0.6
1.184,0.4,0.12,0.6
1.252,0.4,0.12,0.7
1.257,0.4,0.12,0.7
1.263,0.4,0.12,0.7
1.274,0.4,0.12,0.7
1.37,0.4,0.12,0.7
1.375,0.4,0.12,0.7
1.381,0.4,0.12,0.7
1.393,0.4,0.12,0.7
1.508,0.4,0.12,0.8
1.579,0.4,0.12,0.8
1.584,0.4,0.12,0.8
1.592,0.4,0.12,0.8
1.686,0.5,0.12,0.8
1.688,0.5,0.12,0.8
1.699,0.5,0.12,0.8
1.703,0.5,0.12,0.8
1.782,0.5,0.11,0.9
1.785,0.5,0.11,0.9
1.791,0.5,0.11,0.9
1.809,0.5,0.11,0.9
1.899,0.5,0.1,0.9
1.909,0.5,0.1,0.9
1.917,0.5,0.1,0.9
1.92,0.5,0.1,0.9
2.053,0.5,0.1,1
2.057,0.5,0.1,1
2.059,0.5,0.1,1
2.063,0.5,0.1,1
2.149,0.4,0.1,1
2.159,0.4,0.1,1
2.166,0.4,0.1,1
2.168,0.4,0.1,1
2.243,0.4,0.1,1.1
2.249,0.4,0.1,1.1
2.251,0.4,0.1,1.1
2.26,0.4,0.1,1.1
2.331,0.5,0.1,1.2
2.345,0.5,0.1,1.2
2.367,0.5,0.09,1.2
2.37,0.5,0.09,1.2
2.461,0.4,0.09,1.2
2.479,0.4,0.09,1.2
2.481,0.4,0.09,1.2
2.485,0.4,0.09,1.2
2.551,0.4,0.09,1.2
2.617,0.4,0.09,1.3
2.622,0.4,0.09,1.3
2.626,0.4,0.09,1.3
2.665,0.4,0.1,1.3
2.671,0.4,0.1,1.3
2.68,0.4,0.1,1.3
2.682,0.4,0.1,1.3
2.77,0.4,0.1,1.4
2.782,0.4,0.1,1.4
2.789,0.4,0.1,1.4
2.797,0.4,0.1,1.4
2.861,0.4,0.1,1.4
2.878,0.4,0.1,1.4
2.882,0.4,0.1,1.4
2.886,0.4,0.1,1.4
2.982,0.5,0.1,1.5
2.989,0.5,0.1,1.5
2.991,0.5,0.1,1.5
3.005,0.5,0.1,1.5
3.125,0.6,0.1,1.5
3.138,0.6,0.1,1.5
3.143,0.6,0.1,1.5
3.151,0.6,0.1,1.5
3.264,0.8,0.1,1.6
3.274,0.8,0.1,1.6
3.286,0.8,0.1,1.6
3.294,0.8,0.1,1.6
3.36,0.9,0.1,1.7
3.372,0.9,0.1,1.7
3.452,1.1,0.1,1.8
3.46,1.1,0.1,1.8
3.463,1.1,0.1,1.8
3.469,1.1,0.1,1.8
3.559,1.4,0.11,1.9
3.628,1.4,0.11,1.9
3.636,1.4,0.11,1.9
3.641,1.4,0.11,1.9
3.742,1.8,0.13,2.3
3.746,1.8,0.13,2.3
3.753,1.8,0.13,2.3
3.756,1.8,0.13,2.3
3.829,2.1,0.15,2.5
3.84,2.1,0.15,2.5
3.852,2.1,0.15,2.5
3.861,2.1,0.15,2.5
3.97,2.3,0.17,2.7
3.977,2.3,0.17,2.7
3.988,2.3,0.17,2.7
3.992,2.3,0.17,2.7
4.106,2.5,0.19,3
4.109,2.5,0.19,3
4.118,2.5,0.19,3
4.123,2.5,0.19,3
4.223,2.7,0.2,3.3
4.227,2.7,0.2,3.3
4.233,2.7,0.2,3.3
4.237,2.7,0.2,3.3
4.407,2.9,0.22,3.6
4.411,2.9,0.22,3.6
4.422,2.9,0.22,3.6
4.434,2.9,0.22,3.6
4.521,3,0.23,3.9
4.529,3,0.23,3.9
4.535,3,0.23,3.9
4.537,3,0.23,3.9
4.613,3.1,0.24,4.2
4.67,3.1,0.24,4.2
4.674,3.1,0.24,4.2
4.72,3.2,0.24,4.5
4.725,3.2,0.24,4.5
4.729,3.2,0.24,4.5
4.739,3.2,0.24,4.5
4.857,3.2,0.23,4.8
4.866,3.2,0.23,4.8
4.871,3.2,0.23,4.8
4.885,3.2,0.23,4.8
4.961,3.2,0.22,5.2
4.967,3.2,0.22,5.2
4.973,3.2,0.22,5.2
4.99,3.2,0.22,5.2
5.069,3.1,0.21,5.5
5.083,3.1,0.21,5.5
5.09,3.1,0.21,5.5
5.105,3.1,0.21,5.5
5.168,3,0.2,5.8
5.181,3,0.2,5.8
5.197,3,0.2,5.8
5.211,3,0.2,5.8
5.301,2.8,0.19,6.1
5.307,2.8,0.19,6.1
5.322,2.8,0.19,6.1
5.328,2.8,0.19,6.1
5.418,2.4,0.17,6.6
5.421,2.4,0.17,6.6
5.431,2.4,0.17,6.6
5.45,2.4,0.17,6.6
