Latitude,Longitude,Height (m),Time (s),Data Rate (kbpms),Time (s),Packet Interval (ms),Packet Length (bytes),OSD.flyTime [s]
48.18183,11.613804,16.8,150,32.848,150.004967,10.269,1514,150
48.18183,11.613804,16.7,150.1,4.112,150.095163,0.031,171,150.1
48.18183,11.613804,16.6,150.2,5.656,150.209994,38.605,707,150.2
48.18183,11.613804,16.4,150.3,0.632,150.300545,2.246,79,150.3
48.18183,11.613804,16.3,150.4,5.472,150.40068,11.33,78,150.4
48.18183,11.613804,16.2,150.5,41.08,150.504151,39.998,1514,150.5
48.18183,11.613804,16.2,150.6,6.904,150.599431,10.945,76,150.6
48.18183,11.613804,16.1,150.7,4.248,150.709821,32.955,531,150.7
48.18183,11.613804,16,150.8,39.496,150.797447,40.708,1514,150.8
48.18183,11.613804,15.9,150.9,0,150.914361,31.183,531,150.9
48.18183,11.613804,15.8,151,61.144,151.004359,27.36,1514,151
48.18183,11.613804,15.7,151.1,0,151.089455,0.187,1312,151.1
48.18183,11.613804,15.6,151.2,0,151.213277,40.553,573,151.2
48.18183,11.613804,15.5,151.3,0,151.299961,0.038,646,151.3
48.18183,11.613804,15.4,151.4,0,151.414193,30.395,743,151.4
48.18183,11.613804,15.3,151.5,90.648,151.505303,35.17,1514,151.5
48.18183,11.613804,15.2,151.6,0,151.592737,0.022,901,151.6
48.181831,11.613804,15.2,151.7,1.184,151.700688,1.601,148,151.7
48.181831,11.613804,15.1,151.8,0,151.798852,0.197,1400,151.8
48.18183,11.613804,15,151.9,0,151.882602,0.021,177,151.9
48.18183,11.613804,14.9,152,12.112,152.008046,38.755,1514,152
48.18183,11.613804,14.8,152.1,0,152.090986,0.036,222,152.1
48.181831,11.613804,14.7,152.2,0,152.187004,12.045,91,152.2
48.181831,11.613804,14.6,152.3,0,152.298768,0.034,173,152.3
48.181831,11.613804,14.5,152.4,0,152.385437,2.222,91,152.4
48.181831,11.613804,14.4,152.5,0,152.511046,42.732,1514,152.5
48.181831,11.613804,14.3,152.6,0,152.591812,0.036,71,152.6
48.181831,11.613805,14.3,152.7,0,152.717808,41.989,1514,152.7
48.181831,11.613805,14.2,152.8,86.496,152.80327,40.075,1514,152.8
48.181831,11.613805,14.1,152.9,0,152.883237,0.039,235,152.9
48.181831,11.613805,14,153,86.896,152.994558,26.898,86,153
48.181831,11.613805,13.9,153.1,0,153.092944,0.037,180,153.1
48.181831,11.613805,13.8,153.2,0,153.188423,0.024,211,153.2
48.181831,11.613805,13.7,153.3,121.864,153.300046,0.557,1514,153.3
48.181831,11.613805,13.6,153.4,0,153.388175,0.022,313,153.4
48.181831,11.613805,13.5,153.5,0,153.510071,34.77,1514,153.5
48.181831,11.613804,13.4,153.6,0,153.594165,7.675,1514,153.6
48.181831,11.613805,13.3,153.7,0.728,153.701995,20.32,91,153.7
48.181831,11.613805,13.2,153.8,12.112,153.79936,19.229,76,153.8
48.181831,11.613805,13.1,153.9,0,153.891259,0.062,865,153.9
48.181831,11.613805,13,154,84.784,154.007889,34.71,1514,154
48.181831,11.613805,12.9,154.1,0,154.09353,0.164,640,154.1
48.181831,11.613805,12.8,154.2,0,154.19764,0.155,1078,154.2
48.181831,11.613805,12.7,154.3,91.008,154.299665,7.723,1514,154.3
48.181832,11.613805,12.6,154.4,0,154.385681,0.14,729,154.4
48.181831,11.613805,12.5,154.5,12.112,154.506638,37.675,1514,154.5
48.181831,11.613805,12.4,154.6,66.304,154.600084,0.274,1514,154.6
48.181831,11.613805,12.3,154.7,0,154.688818,0.036,723,154.7
48.181831,11.613805,12.3,154.8,89.704,154.799876,10.862,1514,154.8
48.181832,11.613805,12.2,154.9,0,154.895078,0.033,168,154.9
48.181832,11.613805,12.1,155,85.472,155.002122,17.908,86,155
48.181832,11.613805,12,155.1,122.656,155.098916,9.939,1514,155.1
48.181832,11.613805,11.9,155.2,0,155.212091,34.134,91,155.2
48.181832,11.613805,11.8,155.3,136.576,155.305058,29.805,1514,155.3
48.181832,11.613805,11.7,155.4,0,155.398588,8.04,79,155.4
48.181832,11.613805,11.6,155.5,12.112,155.493511,0.021,78,155.5
48.181832,11.613805,11.5,155.6,1.4,155.596893,0.036,183,155.6
48.181832,11.613805,11.4,155.7,0,155.71904,41.319,1514,155.7
48.181832,11.613805,11.3,155.8,102.912,155.796568,25.846,78,155.8
48.181832,11.613805,11.2,155.9,0.672,155.908889,22.446,84,155.9
48.181832,11.613805,11.1,156,49.08,156.001358,4.224,79,156
48.181832,11.613805,11,156.1,3.416,156.100372,4.963,82,156.1
48.181832,11.613805,10.9,156.2,0,156.219186,41.525,1514,156.2
48.181832,11.613805,10.8,156.3,101.784,156.302554,38.815,1514,156.3
48.181832,11.613805,10.7,156.4,0.632,156.403834,16.729,79,156.4
48.181832,11.613805,10.6,156.5,13.36,156.495152,0.201,136,156.5
48.181832,11.613805,10.5,156.6,0,156.597122,0.035,322,156.6
48.181832,11.613805,10.4,156.7,0,156.680717,0.062,111,156.7
48.181832,11.613805,10.3,156.8,121.048,156.801622,12.314,1514,156.8
48.181833,11.613806,10.2,156.9,0,156.888652,0.018,837,156.9
48.181833,11.613806,10.1,157,0.608,157.002042,12.717,76,157
48.181833,11.613806,10,157.1,1.664,157.098512,0.191,1267,157.1
48.181833,11.613806,9.9,157.2,0,157.197525,12.469,91,157.2
48.181833,11.613806,9.8,157.3,140.92,157.302091,26.807,1514,157.3
48.181833,11.613806,9.7,157.4,0,157.388296,0.913,204,157.4
48.181833,11.613806,9.6,157.5,0,157.511648,41.59,1514,157.5
48.181833,11.613806,9.5,157.6,0,157.594239,0.037,276,157.6
48.181833,11.613806,9.5,157.7,0,157.718466,39.702,1514,157.7
48.181833,11.613806,9.4,157.8,51.656,157.802559,41.19,1514,157.8
48.181833,11.613806,9.3,157.9,0,157.886527,0.13,955,157.9
48.181833,11.613806,9.2,158,0,158.011476,41.391,1514,158
48.181833,11.613806,9.1,158.1,0,158.098448,0.041,137,158.1
