Time (s),Data Rate (kbps),Avg. Packet Interval (ms),Time (s),Data Rate (kbps),Avg. Packet Interval (ms),Time (s),Data Rate (kbps),Avg. Packet Interval (ms)
0,2381.06,4.082401639,0,3288.57,2.646493333,0,1124.58,8.291239316
1,2052.18,4.59362844,1,2621.99,3.130933544,1,1618.13,6.752825503
2,2274.95,4.359995614,2,2915.77,2.819515235,2,1735.76,6.162613497
3,3077.37,3.228437086,3,1315.82,4.845723301,3,1049.94,9.472485437
4,2932.66,3.49534589,4,1215.27,4.969402985,4,1616.69,6.597858974
5,2648.67,3.713641791,5,2101.24,3.67004428,5,1531.38,6.721717241
6,2956.33,3.441214286,6,2906.04,2.887297994,6,1308.97,7.632992187
7,3470.85,2.839354467,7,2962.12,2.772907821,7,1989.25,5.655206522
8,1417.38,5.909287425,8,3061.65,2.837544413,8,1188.77,8.39087931
9,2463.26,4.029299213,9,3047.03,2.864189802,9,491.744,20.20528
10,2570.98,3.901996016,10,2999.03,2.906605797,10,1847.11,5.87717341
11,3051.98,3.289529605,11,2904.33,2.941985207,11,1980.92,5.61047486
12,2876.63,3.482426117,12,2989.42,2.744486264,12,1824.95,5.893152047
13,2803.35,3.504868794,13,3101.52,2.825288515,13,1929.5,5.605977401
14,1919.93,4.841218009,14,2888.85,2.980437126,14,1639.99,6.232077419
15,2752.71,3.550215827,15,3030.02,2.853034091,15,1584.45,6.912722973
16,2745.73,3.640981884,16,3518.62,2.573530928,16,1895.01,5.656903955
17,2009.47,4.439165049,17,1504.72,4.58067907,17,1631.11,6.629248366
18,1618.83,5.982016484,18,3140.74,2.60167268,18,1884.17,5.468705556
19,1725.29,5.140846939,19,2620.48,3.177952681,19,1247.7,8.023816
20,2116.83,4.221013333,20,3035.74,2.81496875,20,1801.36,5.908741176
21,2262.5,4.468957082,21,2937.65,2.948429825,21,1648.79,6.472928105
22,2852.71,3.48015035,22,2761.25,2.992832836,22,1821.7,5.914017647
23,3009.01,3.305401993,23,3097.12,2.807949008,23,1826.67,5.768546512
24,3193.84,3.254801282,24,3108.54,2.831005618,24,1635.66,6.244528662
25,1931.16,4.787414286,25,2672.7,3.098195652,25,1659.94,6.721
26,2875.45,3.546523297,26,3284.47,2.718075881,26,1850.9,5.73704023
27,1941.02,4.818866995,27,3478.26,2.533222785,27,1812.85,6.083120482
28,1393.01,5.800949438,28,2951.55,2.955606509,28,1658.05,6.126204969
29,1281.62,6.249355263,29,3031.92,2.831164306,29,1840.73,5.902088235
30,1926.89,4.837186047,30,1337.24,4.815009804,30,1455.48,7.126411765
31,1812.1,5.24781383,31,1410.14,4.804255924,31,924.024,10.66867368
32,2528.97,3.639939286,32,2560.56,3.040801223,32,675.824,13.76308108
33,2068.98,4.54365,33,2592.89,3.137576324,33,702.84,12.38249383
34,2502.66,3.991326693,34,2335.38,3.455342561,34,833.76,11.51012791
35,1997.25,4.592763889,35,3004.26,2.868178161,35,1021.08,9.762262136
36,2254.72,4.275786325,36,1660.19,4.330564655,36,1142.02,8.813991228
37,2932.05,3.463524138,37,2851.52,2.955091445,37,1434.58,7.086121429
38,2929.6,3.419914384,38,1494.14,4.333446903,38,1663.69,6.414541401
39,3136.18,3.259330097,39,1387.89,4.664753425,39,1836.07,5.895864706
40,2338.84,4.187697479,40,2489.95,3.243963696,40,1760.1,6.000429448
41,3137.7,3.236906149,41,3126.73,2.815997214,41,1502.74,7.015847222
42,2419.77,4.040133603,42,3146.38,2.740574932,42,1905.54,5.749659091
43,2721.99,3.627771739,43,3135.04,2.807258427,43,1748.67,6.083121212
44,2030.46,4.169995192,44,3121.56,2.806011299,44,1134.9,9.101009174
45,1724.31,5.560279412,45,2867.25,2.999226866,45,912.872,10.19314894
46,1149.97,7.0235,46,2965.6,2.889718841,46,1742.52,6.460652174
47,1408.22,6.2339,47,2518.95,3.128484177,47,2067.39,5.25047644
48,2011.67,4.539799065,48,1827.68,4.186338843,48,1718.58,6.311018868
49,2583.54,4.06201581,49,1605.54,4.139107438,49,846.272,10.61502247
50,2669.39,3.535032967,50,3049.32,2.821898305,50,643.136,15.24706557
51,2715.04,3.727018182,51,3120.31,2.745706044,51,519.84,20.46130909
52,780.144,3.555703704,52,3038.86,2.778428969,52,576.352,16.37114286
53,2968.1,5.040202381,53,3177.02,2.771790055,53,69.776,118.947875
54,2051.25,4.596184332,54,2236.63,3.543840989,54,142.976,45.72528571
55,1639.28,5.550794444,55,2412.88,3.379996622,55,822.784,14.02480488
56,2358.16,4.158427386,56,3144.29,2.784732591,56,1575.24,6.830422819
57,1916.37,4.862028571,57,2867.08,2.866394813,57,1822.7,5.784264368
58,2918.72,3.448248276,58,2133.18,3.591589286,58,1883.1,5.522536723
59,1529.43,5.756313953,59,1898.94,3.867858268,59,1960.98,5.586049451
60,2102.58,4.604144796,60,1204.02,5.147771574,60,1076.58,9.203707547
61,2193.6,4.349423581,61,905.568,6.124024691,61,1188.9,8.350247863
62,2208.5,4.289123853,62,319.008,9.199256881,62,1610.3,6.785852349
63,1519.27,5.937022599,63,529.328,6.854993197,63,1301.73,8.275666667
64,2025.54,4.623222222,64,1737.63,3.447693103,64,1797.86,6.050284848
65,2393.2,4.04397541,65,2220.29,3.535183746,65,1999.18,5.249636364
66,800.128,13.90175676,66,2837.7,2.943252941,66,1991.1,5.636237569
67,1863.55,4.216939914,67,3022.65,2.813991549,67,1100.5,9.23092233
68,1319.67,6.856234899,68,1948.35,3.818717557,68,589.568,16.89508333
69,1011.39,7.545982456,69,2947.02,2.893536443,69,658.008,15.41989231
70,626.192,15.6121831,70,2837.65,3.005132132,70,328.048,28.9406
71,1799.07,4.171823045,71,3035.7,2.861171429,71,460.896,21.61310638
72,1886.59,4.94104878,72,3001.34,2.819465909,72,1201.94,8.612060345
73,539.264,18.45840816,73,2653.3,3.116186916,73,1616.7,6.394922078
74,1668.27,5.22721327,74,2850.81,2.975525223,74,1824.99,5.749660714
75,1178.72,7.649612403,75,2671.45,3.184927215,75,1910.38,5.762834254
76,828.416,11.03968132,76,2389.74,3.345286195,76,1793.32,5.853047337
77,1767.02,4.508094595,77,2518.46,3.174848101,77,1730.69,6.35242236
78,1416.01,6.042130435,78,2393.58,3.435187713,78,1658.28,6.331051282
79,711.52,12.8591875,79,2147.19,3.661959707,79,1753.84,6.008309091
80,848,8.049896,80,2505.26,3.274205298,80,1904.11,5.783737143
81,1450.92,5.527574586,81,2331.35,3.439660959,81,1653.01,6.24585
82,1749.08,5.234633508,82,1777.66,3.965322835,82,1189.66,8.780108108
83,717.128,12.71291026,83,2100.94,3.711249071,83,482.928,20.32412
84,90.176,78.32022222,84,2282.94,3.451313793,84,1061.63,9.774834951
91,32.568,79.9955,85,2405.78,3.284155629,85,1336.19,7.925238095
92,329.304,29.61011765,86,2668.52,3.140934579,86,1860.26,5.598421348
93,1326.47,5.528187166,87,2679.95,3.057739264,87,1752.86,6.204469136
94,1811.58,4.053058824,88,2274.06,3.475440972,88,1732.31,6.091030488
95,1284.37,5.32521466,89,2586.34,3.19233758,89,1873.35,5.693142857
96,833.688,10.32073404,90,2582.06,3.184370607,90,1454.23,7.241143885
97,830.656,9.427054545,91,2276.46,3.517260563,91,1404.58,7.544885496
98,560.28,13.1995493,92,2623.88,3.092259259,92,1678.42,6.1961
99,117.104,86.66633333,93,2539.51,3.300085526,93,1803.57,6.099738095
100,69.984,127.515,94,2034.71,3.854734375,94,1437.78,6.911730496
101,1101.44,6.009303571,95,1879.06,3.928736434,95,1051.48,10.39964286
102,1141.32,5.660596491,96,1734.05,4.357366812,96,1036.62,9.387471698
103,1384.14,5.694197802,97,1389.42,4.711471698,97,822.144,11.90502353
104,736.232,8.098818182,98,1568.81,4.185881857,98,1251.56,8.091903226
111,853.112,8.587872881,99,2278.57,3.505076389,99,1774.09,6.110638037
112,1523.58,4.35745815,100,2217.73,3.569739286,100,1754.4,6.009041916
113,1367.9,4.460400922,101,2153.14,3.627562044,101,1823.59,5.825098837
114,260.952,32.27574194,102,1740.52,3.94780315,102,1809.74,5.802625731
115,278.192,30.90539394,103,2322.63,3.474422145,103,1625.21,6.453417219
116,186.536,35.83875,104,1815.61,3.845784615,104,1701.6,6.219331288
117,381.96,17.85109524,105,2201.03,3.53714539,105,1470.9,6.977262411
118,642.8,11.28061111,106,2674.29,3.167287066,106,1316.73,7.634753846
119,1378.62,5.565293478,107,1712.05,3.963924,107,70.616,125.815
120,1340.12,5.028571429,108,2226.05,3.582864286,108,51.512,172.653
121,2246.81,4.551208145,109,2887.4,2.94095614,109,35.752,215.947
122,1959.47,4.845036649,110,2669.83,3.123984277,110,35.752,196.2765
123,1439.17,7.43777931,111,2515.3,3.278837134,111,23.64,384.2976667
124,1543.62,4.88384878,112,2720.48,3.072113846,112,47.28,211.6461667
125,2374.83,4.296882609,113,2172,3.723267658,113,27.872,277.7726667
126,2704.81,3.856203846,114,1379.27,4.711309524,114,7.88,256.816
127,3165.54,3.201253205,115,1113.95,5.382176471,115,78.8,191.8653
128,2947.62,3.422568027,116,1704.6,4.087244898,116,55.16,144.9081429
129,1738.66,5.203455497,117,2490.22,3.028760736,117,226.56,11.03039706
130,2366.98,4.017992032,118,3219.34,2.759654795,118,7.88,930.787
131,2641.97,3.779632576,119,1626.43,4.569709091,119,73.896,92.11407692
132,3109.27,3.339866221,120,118.464,12.4631875,120,809.12,12.2065914
133,1476.14,5.859075581,121,405.216,11.1485,121,1791.86,6.025781065
134,2533.08,3.88246875,122,288.608,9.623278846,122,1967.36,5.398043243
135,2606.26,3.612388489,123,1636.72,2.575849741,123,1673.52,6.268038961
136,2777.06,3.584695341,124,1391.78,4.657407407,124,114.032,87.2672
137,2489.23,3.986244,125,1294.77,4.884131707,125,31.52,215.983
138,2963.42,3.38103367,126,2931.38,2.946426036,126,94.56,102.7533333
139,2577.18,3.715539033,127,3107.58,2.781440443,127,300.208,23.08384783
140,1727.61,5.503005495,128,2228.29,3.527727915,128,103.304,64.96633333
141,2757.98,3.623844203,129,2723.36,3.053887195,129,55.592,120.78075
142,3127.03,3.190073482,130,3209.78,2.754118785,130,168.76,48.2838
143,2627.46,3.677064639,131,3111.18,2.817393258,131,57.4,37.804
144,2799.34,3.630691228,132,2920.26,2.878040346,132,70.92,181.4988889
145,3387.76,2.994492355,133,2430.31,3.370959596,133,63.04,123.00125
146,2318.92,4.089239837,134,2383.31,3.310302326,134,63.04,114.033875
147,2671.84,3.672317518,135,2390.61,3.432941781,135,77.208,57.2437
148,2520.91,4.032344,136,2022.66,3.773656604,136,118.2,64.92833333
149,3192.8,3.181332268,137,2993.46,2.812070621,137,119.496,54.17761111
