Packet Inter-arrival (ms),Height (m)
0,0
0.038,0
31.024,0
0.502,0
0.85,0
0.049,0
0.029,0
0.095,0
22.374,0
10.046,0
0.118,0
0.212,0
0.204,0
0.234,0
0.077,0
6.635,0
21.43,0
0.255,0
0.189,0
3.362,0
0.459,0
0.17,0
0.547,0
0.116,0
8.809,0
23.223,0
0.507,0
0.18,0
0.175,0
0.192,0
0.487,0
23.032,0
9.455,0
0.557,0
0.221,0
0.22,0
0.223,0
0.172,0
32.057,0
0.486,0
0.218,0
1.106,0
0.039,0
0.031,0
4.324,0
4.563,0
2.488,0
9.896,0
9.946,0
0.257,0
0.4,0
0.042,0
0.215,0
0.04,0
22.48,0
10.486,0
0.494,0
1.53,0
0.045,0
30.2,0
0.505,0
0.268,0
0.097,0
32.627,0
0.541,0
0.212,0
0.225,0
0.965,0
0.044,0
22.487,0
9.744,0
0.509,0
0.219,0
0.231,0
0.164,0
7.989,0
22.818,0
5.925,0
0.532,0
0.223,0
0.227,0
0.228,0
0.53,0
0.038,0
27.709,0
0.571,0
0.128,0
0.169,0
0.175,0
0.508,0
0.203,0
21.674,0
16.423,0
0.368,0
0.226,0
0.21,0
0.236,0
0.279,0
0.077,0
17.839,0
12.289,0
0.539,0
0.21,0
0.246,0
0.193,0
0.539,0
0.093,0
20.819,0
9.532,0
0.544,0
0.213,0
0.231,0
0.195,0
0.883,0
0.058,0
0.077,0
18.366,0
13.85,0
0.506,0
0.23,0
0.232,0
0.204,0
0.225,0
0.723,0
30.267,0
0.301,0
0.042,0
0.089,0
0.418,0
0.043,0
0.142,0
0.19,0
0.167,0
0.184,0
0.185,0
0.69,0
0.182,0
0.044,0
30.589,0
0.477,0
0.177,0
0.179,0
0.177,0
0.516,0
0.139,0
5.016,0
14.423,0
12.793,0
0.569,0
0.112,0
0.198,0
0.165,0
0.516,0
0.126,0
11.291,0
20.752,0
0.503,0
0.176,0
0.182,0
0.174,0
1.382,0
0.049,0
0.03,0
30.128,0
0.567,0
0.123,0
0.204,0
0.156,0
0.531,0
0.18,0
0.086,0
19.752,0
7.689,0
0.434,0
0.098,0
0.292,0
0.074,0
0.179,0
0.5,0
0.082,0
31.537,0
0.712,0
0.045,0
0.083,0
0.831,0
0.055,0
0.09,0
1.055,0
0.04,0
0.026,0
0.026,0
25.575,0
4.656,0
0.484,0
0.172,0
0.172,0
0.648,0
0.14,0
0.185,0
0.178,0
0.179,0
0.182,0
0.075,0
25.249,0
4.457,0
7.771,0
0.46,0
0.16,0
0.257,0
0.121,0
3.942,0
0.064,0
0.031,0
0.03,0
0.029,0
0.029,0
0.029,0
21.299,0
0.549,0
0.209,0
0.657,0
0.177,0
0.235,0
0.328,0
0.176,0
0.581,0
0.2,0
0.139,0
10.86,0
0.172,0
24.616,0
0.569,0
0.192,0
0.222,0
0.221,0
0.602,0
0.244,0
0.194,0
0.221,0
0.158,0
19.52,0
5.652,0
0.52,0
0.218,0
0.224,0
0.222,0
0.561,0
0.456,0
0.05,0
0.072,0
0.106,0
7.813,0
23.884,0
0.682,0
0.05,0
0.516,0
0.169,0
0.15,0
0.18,0
0.19,0
0.683,0
0.092,0
29.793,0
0.508,0
0.149,0
0.179,0
0.179,0
0.575,0
0.16,0
0.18,0
0.186,0
0.036,0
26.342,0
5.263,0
0.4,0
0.171,0
0.178,0
0.603,0
0.16,0
0.179,0
0.186,0
0.181,0
0.078,0
15.906,0
19.974,0
0.492,0
0.176,0
0.186,0
0.169,0
0.609,0
0.182,0
0.179,0
0.181,0
0.194,0
0.164,0
0.07,0
11.49,0
0.51,0
0.045,0
8.356,0
5.008,0
0.776,0
0.051,0
0.077,0
0.146,0
0.829,0
0.052,0
0.072,0
0.17,0
0.195,0
0.078,0
27.115,0
9.626,0
0.487,0
0.166,0
0.179,0
0.171,0
0.62,0
0.128,0
0.181,0
0.187,0
0.044,0
32.701,0
0.483,0
0.179,0
0.174,0
0.623,0
0.144,0
0.189,0
0.17,0
0.178,0
0.115,0
0.213,0
10.96,0
13.75,0
0.518,0
0.177,0
0.169,0
0.183,0
0.628,0
0.179,0
0.18,0
0.187,0
0.04,0
27.02,0
8.398,0
0.636,0
0.177,0
0.176,0
0.178,0
0.443,0
0.399,0
31.036,0
0.499,0
0.179,0
0.182,0
0.113,0
27.876,0
0.504,0
0.193,0
0.174,0
0.041,0
30.326,0
1.215,0
0.639,0
0.088,0
0.796,0
17.143,0
15.43,0
0.645,0
0.167,0
0.099,0
20.847,0
13.232,0
0.505,0
0.163,0
0.13,0
28.854,0
2.551,0
0.494,0
0.168,0
0.106,0
33.512,0
0.509,0
0.166,0
0.138,0
27.915,0
2.538,0
1.127,0
0.491,0
0.168,0
0.081,0
30.674,0
0.934,0
0.503,0
0.187,0
0.085,0
32.993,0
0.721,0
0.04,0
0.092,0
0.362,0
32.015,0
0.48,0
0.19,0
0.087,0
34.037,0
0.522,0
0.195,0
0.163,0
0.133,0
15.89,0
15.179,0
0.464,0
0.194,0
0.405,0
32.908,0
0.476,0
0.179,0
0.078,0
32.18,0
4.647,0
0.478,0
0.632,0
0.042,0
32.567,0
0.505,0
2.156,0
0.048,0
0.021,0
28.593,0
1.58,0
0.216,0
0.227,0
0.717,0
0.045,0
0.031,0
8.49,0
18.752,0
0.451,0
0.466,0
1.036,0
0.105,0
0.037,0
4.102,0
27.353,0
0.482,0
0.219,0
0.321,0
0.336,0
26.217,0
0.216,0
6.227,0
0.46,0
0.163,0
0.181,0
0.188,0
0.782,0
0.047,0
31.125,0
0.504,0
0.767,0
0.046,0
0.027,0
0.229,0
0.039,0
