Data Rate (kbps),Data Rate (kbps)2,Data Rate (kbps)3,Packet Interval (ms),Packet Interval (ms)2,Packet Interval (ms)3,Packet Length (bytes),Packet Length (bytes)2,Packet Length (bytes)3
48.576,80.32,75.656,0,0,0,76,85,95
54.664,75.696,71.568,20.35,10.339,2.452,102,128,74
60.368,77.888,76.408,5.635,6.867,7.078,76,74,66
46.912,76.528,58.528,6.434,29.825,1.089,74,180,66
48.848,81.84,85.04,0.03,14.439,1.193,74,102,66
53.224,77.12,72.968,8.188,9.561,0.796,102,79,66
54.384,77.896,68.616,20.394,1.706,0.949,76,909,66
56.192,75.944,81.44,20.293,13.735,1.264,128,76,66
47.832,90.776,80.12,20.247,0.061,1.149,76,76,66
56.512,73.24,47.536,20.314,0.034,1.469,102,85,66
48,76.824,80.92,7.929,2.948,1.033,76,154,66
47.76,75.368,80.144,12.388,17.907,1.008,102,85,66
59.24,86.344,88.136,21.006,2.958,1.02,76,128,66
56.88,75.776,82.856,20.357,20.479,1.063,128,128,66
47.304,83.84,79.24,20.526,21.731,1.008,76,154,66
49.272,76.104,71.4,20.26,33.58,0.886,102,92,66
48,79.168,91.296,9.225,0.36,2.943,76,85,95
58.984,73.752,73.896,0.06,14.673,18.484,76,87,66
54.608,74.816,85.2,12.703,6.204,6.534,102,74,95
46.696,77.768,68.656,20.264,0.986,2.16,102,85,66
48.664,81.24,88.112,20.309,2.706,22.829,102,206,95
56.088,74.712,72.328,20.368,12.954,22.194,102,128,66
51.672,76.056,77.184,21.122,25.33,2.791,76,154,95
47.184,78.888,79.664,5.927,3.39,25.023,76,74,95
48.872,81.256,85.264,7.593,18.846,24.978,76,102,95
55.792,76.872,75.592,7.018,15.569,7.43,102,85,66
48.056,72.864,82.184,20.352,10.516,17.59,102,128,95
51.096,80.448,74.224,20.315,12.418,12.161,102,85,66
47.36,77.936,84.96,20.248,9.514,12.846,102,156,95
53.712,73.304,76.896,10.667,29.892,17.463,79,182,204
45.976,78.208,70.328,10.263,22.098,0.162,76,104,66
47.304,73.584,60.672,4.471,9.169,2.653,84,76,112
57.616,93.344,64.688,15.845,2.534,1.869,102,130,112
59.648,77.912,58.288,20.257,1.315,0.386,128,85,77
48.872,71.96,56.616,20.469,6.567,24.615,76,85,66
47,75.536,64.672,20.248,0.136,0.021,102,76,95
48.576,82.696,75.736,21.244,16.039,25.172,76,77,95
56.664,77.392,70.336,2.85,3.683,14.369,79,85,66
53.696,79.4,74.912,0.421,0.811,10.486,76,101,95
48.552,72.488,78.624,0.647,1.485,24.993,79,85,95
47.184,81.272,86.256,16.481,74.099,24.994,102,85,95
56.456,76.248,71.336,20.991,5.066,0.176,128,76,66
51.704,74.2,80.224,20.929,0.068,9.988,76,76,74
47.448,79.032,82.496,20.354,3.974,14.889,102,336,95
47.304,85.376,74.456,20.852,10.304,4.916,76,102,74
55.328,72.24,61.96,20.269,1.069,0.603,102,85,66
48,78.664,80.56,20.263,20.265,8.992,128,154,74
56.968,81.64,89.408,20.25,22.988,10.477,76,154,95
46.376,86.488,90.576,20.261,21.478,25.008,102,102,66
55.536,74.664,55.856,20.803,18.701,1.333,102,85,95
49.336,76.296,48.936,20.858,4.674,25,76,75,95
49.272,75.496,54.904,20.312,0.635,3.506,128,79,66
52.104,79.696,52.864,9.652,12.196,21.52,74,85,95
55.448,82.728,38.744,11.038,1.275,8.725,76,154,66
47.92,77.664,39.24,12.049,10.2,1.677,74,128,90
46.752,70.936,61.12,8.646,28.685,1.164,102,154,118
47.392,83.64,82.936,20.253,28.3,13.407,102,128,95
59.848,74.416,82.296,20.87,8.402,25.195,76,83,95
52.44,79.032,78.328,20.797,2.487,18.764,128,85,66
52.528,71.08,83.136,20.271,14.295,6.04,102,128,95
44.92,84.72,74.232,8.322,5.069,25.372,83,85,95
55.208,71.44,67.128,11.925,15.215,15.017,76,180,66
57.368,80.2,74.088,18.068,20.376,1.058,76,102,66
55.288,70.512,74.184,2.721,20.452,1.132,102,128,66
54.896,84.672,88.16,20.282,20.259,1.816,76,128,66
54.456,78.424,83.456,20.257,7.901,1.137,128,85,66
49.768,67,78.344,20.247,5.438,1.421,102,76,66
51.008,82.448,62.68,20.883,0.062,3.323,76,84,95
48.056,83.408,55.48,15.075,12.562,1.374,74,85,66
55.032,79.072,52.752,1.251,3.587,1.008,76,154,66
48.176,61.216,45.6,2.149,24.976,1.531,74,128,66
47.392,96.704,45.232,1.747,20.34,1.791,102,154,66
50.856,83.024,74.92,20.245,28.549,1.212,76,154,66
55.48,65.352,75.072,21.752,0.585,0.528,128,85,66
48.664,89.4,75.712,10.878,11.642,1.866,909,79,66
46.696,77.152,81.104,9.355,8.161,1.603,102,76,66
48.664,76.488,86.8,20.443,2.632,0.734,76,85,66
58.976,96.208,77.392,15.052,1.977,1.177,76,101,66
48.176,80.088,73.216,5.181,18.295,1.052,102,180,66
48,72.848,78.744,20.246,15.36,5.317,128,74,66
48.056,76.384,88.528,20.245,16.021,1.095,76,154,66
55.184,84.472,78.792,20.274,25.825,1.377,102,85,66
52.368,79.896,66.408,20.539,1.698,3.347,76,154,95
47.392,73.792,54.816,15.42,10.869,24.996,76,76,95
49.184,63.064,68.256,0.066,1.472,20.668,76,76,66
61.832,66.472,70.368,4.799,1.168,4.334,102,76,95
