Latitude,Longitude,Height (m),Time (s),Data Rate (kbpms),Time (s),Packet Interval (ms),Packet Length (bytes),OSD.flyTime [s]
48.182053,11.613817,0,0.1,1.664,0.093815,1.343,137,0.1
48.182053,11.613817,0,0.2,109.736,0.204316,10.147,91,0.2
48.182053,11.613817,0,0.3,0,0.293714,0.107,556,0.3
48.182053,11.613817,0,0.4,0,0.392774,7.984,79,0.4
48.182053,11.613817,0,0.5,0,0.497516,0.042,718,0.5
48.182053,11.613817,0,0.6,0.672,0.608646,27.817,84,0.6
48.182053,11.613817,0,0.7,26.232,0.705724,16.484,1514,0.7
48.182053,11.613817,0,0.8,0.928,0.798599,7.603,78,0.8
48.182053,11.613817,0,0.9,0,0.914103,31.8,76,0.9
48.182053,11.613817,0,1,0,0.998495,0.071,503,1
48.182054,11.613817,0,1.1,1.752,1.104571,21.579,82,1.1
48.182054,11.613817,0,1.2,67.392,1.206842,22.13,1514,1.2
48.182054,11.613817,0,1.3,0,1.293305,0.028,67,1.3
48.182054,11.613817,0,1.4,0,1.41528,30.896,1514,1.4
48.182054,11.613817,0,1.5,18.936,1.50012,0.331,1514,1.5
48.182054,11.613817,0,1.6,0,1.585723,1.136,707,1.6
48.182054,11.613817,0,1.7,71.464,1.70727,20.955,1514,1.7
48.182054,11.613816,0,1.8,0.728,1.804262,12.63,91,1.8
48.182054,11.613817,0,1.9,0,1.887647,13.13,506,1.9
48.182054,11.613816,0,2,40.032,1.999906,0.104,1514,2
48.182054,11.613817,0,2.1,0,2.08866,4.909,560,2.1
48.182054,11.613816,0,2.2,87.16,2.207451,17.985,1514,2.2
48.182054,11.613816,0,2.3,0,2.29259,0.195,1355,2.3
48.182054,11.613816,0,2.4,0,2.390526,5.673,593,2.4
48.182055,11.613816,0,2.5,73.936,2.500168,8.903,1514,2.5
48.182055,11.613816,0.1,2.6,0,2.591931,7.97,905,2.6
48.182055,11.613816,0.1,2.7,24.224,2.692405,8.098,466,2.7
48.182055,11.613816,0.1,2.8,0,2.793457,0.384,601,2.8
48.182056,11.613817,0.2,2.9,0,2.89334,16.619,489,2.9
48.182056,11.613817,0.2,3,105.28,3.000384,6.399,1514,3
48.182056,11.613817,0.2,3.1,0,3.094691,9.614,496,3.1
48.182056,11.613817,0.3,3.2,72.672,3.195361,26.467,716,3.2
48.182055,11.613817,0.3,3.3,0,3.297789,3.735,518,3.3
48.182055,11.613817,0.3,3.4,0,3.398591,21.438,762,3.4
48.182055,11.613817,0.4,3.5,105.2,3.497532,28.876,620,3.5
48.182055,11.613817,0.4,3.6,0,3.598162,4.144,713,3.6
48.182055,11.613816,0.5,3.7,36.336,3.698655,28.974,466,3.7
48.182055,11.613816,0.5,3.8,0,3.799653,2.492,749,3.8
48.182056,11.613816,0.6,3.9,4.216,3.901337,22.788,527,3.9
48.182056,11.613816,0.6,4,137.128,4.000652,31.679,1514,4
48.182055,11.613816,0.7,4.1,4,4.102039,15.027,500,4.1
48.182055,11.613816,0.7,4.2,31.352,4.204228,15.004,891,4.2
48.182055,11.613816,0.8,4.3,4.24,4.295164,0.232,249,4.3
48.182055,11.613816,0.8,4.4,4.224,4.403324,25.162,528,4.4
48.182056,11.613816,0.9,4.5,93.08,4.501109,31.868,1514,4.5
48.182056,11.613816,0.9,4.6,6.904,4.6046,18.306,863,4.6
48.182055,11.613815,1,4.7,16.36,4.705709,16.979,531,4.7
48.182055,11.613815,1,4.8,3.936,4.795412,0.653,1209,4.8
48.182055,11.613815,1,4.9,4.248,4.896879,7.504,91,4.9
48.182055,11.613815,1.1,5,89.68,5.002298,12.684,1514,5
48.182055,11.613815,1.1,5.1,3.928,5.107604,19.671,491,5.1
48.182055,11.613815,1.2,5.2,1.664,5.196596,0.038,217,5.2
48.182055,11.613815,1.2,5.3,4.248,5.295453,0.214,1488,5.3
48.182055,11.613816,1.2,5.4,5.944,5.409499,31.23,743,5.4
48.182055,11.613816,1.2,5.5,86.312,5.502002,11.723,1514,5.5
48.182055,11.613816,1.2,5.6,0,5.593071,0.187,78,5.6
48.182055,11.613816,1.2,5.7,1.28,5.701046,29.213,76,5.7
48.182054,11.613816,1.2,5.8,0,5.799028,0.03,330,5.8
48.182054,11.613816,1.2,5.9,0.928,5.897597,17.346,78,5.9
48.182054,11.613817,1.2,6,110.912,6.002959,18.089,1514,6
48.182054,11.613816,1.2,6.1,0,6.098192,0.48,79,6.1
48.182054,11.613817,1.2,6.2,1.752,6.206989,35.098,82,6.2
48.182054,11.613817,1.2,6.3,0,6.296443,0.564,1436,6.3
48.182054,11.613817,1.2,6.4,0,6.415741,34.025,551,6.4
48.182054,11.613817,1.2,6.5,107.968,6.502857,37.906,1514,6.5
48.182053,11.613817,1.2,6.6,1.248,6.606536,17.174,78,6.6
48.182053,11.613817,1.2,6.7,0,6.711636,39.965,1514,6.7
48.182053,11.613817,1.2,6.8,9.408,6.799565,0.143,975,6.8
48.182053,11.613818,1.2,7,114.896,7.002288,5.701,110,7
48.182053,11.613818,1.2,7.1,0,7.088978,0.03,341,7.1
48.182053,11.613818,1.2,7.2,1.664,7.208635,35.867,208,7.2
48.182053,11.613818,1.3,7.3,0,7.2987,0.108,905,7.3
48.182053,11.613818,1.4,7.4,0,7.382172,0.033,102,7.4
48.182052,11.613818,1.5,7.5,146.832,7.504541,34.488,1514,7.5
48.182052,11.613818,1.7,7.6,0,7.591077,0.209,1430,7.6
48.182053,11.613817,1.8,7.7,0,7.71329,31.494,1514,7.7
48.182053,11.613817,2,7.8,0,7.796966,0.061,268,7.8
48.182053,11.613817,2.2,7.9,0,7.894604,0.023,772,7.9
48.182053,11.613817,2.4,8,84.728,8.002816,20.973,975,8
48.182053,11.613817,2.7,8.1,0,8.088288,0.178,1258,8.1
48.182053,11.613817,2.9,8.2,0,8.220291,48.469,1514,8.2
48.182053,11.613817,3.1,8.3,22.408,8.300157,0.5,1514,8.3
48.182053,11.613817,3.3,8.4,0,8.392501,0.024,94,8.4
48.182053,11.613817,3.5,8.5,34.256,8.504082,40.296,1514,8.5
48.182053,11.613817,3.7,8.6,0,8.588601,0.036,84,8.6
48.182053,11.613817,3.9,8.7,0,8.713301,41.057,1514,8.7
48.182053,11.613817,4.1,8.8,0,8.797638,0.172,1205,8.8
48.182053,11.613817,4.3,8.9,0,8.896437,12.238,76,8.9
48.182053,11.613817,4.5,9,66.384,9.008166,39.472,1514,9
48.182053,11.613817,4.7,9.1,0,9.090306,0.023,910,9.1
48.182053,11.613817,4.9,9.2,0,9.213654,30.683,1514,9.2
48.182053,11.613817,5.1,9.3,0,9.298362,0.119,975,9.3
48.182053,11.613817,5.3,9.4,0,9.3815,0.077,1005,9.4
48.182053,11.613817,5.5,9.5,61.256,9.505395,36.514,1514,9.5
48.182053,11.613817,5.7,9.6,0,9.592464,0.026,564,9.6
48.182053,11.613817,5.9,9.7,0,9.688812,0.099,78,9.7
48.182053,11.613817,6.1,9.8,38.984,9.799911,0.208,1514,9.8
48.182053,11.613817,6.3,9.9,0,9.882502,0.075,474,9.9
48.182053,11.613817,6.5,10,66.688,10.00558,13.444,1514,10
48.182053,11.613817,6.7,10.1,0,10.094146,0.024,371,10.1
48.182053,11.613817,6.9,10.2,0,10.196669,0.973,77,10.2
48.182053,11.613818,7.1,10.3,8.824,10.299727,0.217,1514,10.3
48.182053,11.613818,7.3,10.4,0,10.383144,0.173,667,10.4
48.182053,11.613818,7.5,10.5,84.784,10.508091,37.889,1514,10.5
48.182053,11.613818,7.7,10.6,0,10.599927,5.465,79,10.6
48.182052,11.613818,7.9,10.7,1.248,10.702548,27.577,78,10.7
48.182052,11.613818,8.3,10.9,0,10.884379,0.092,725,10.9
48.182052,11.613818,8.5,11,120.144,11.005731,34.194,78,11
48.182052,11.613819,8.7,11.1,0.672,11.096873,4.724,1326,11.1
48.182052,11.613819,8.9,11.2,0,11.191837,13.835,91,11.2
48.182052,11.613818,9.1,11.3,157.576,11.300048,1.948,1514,11.3
48.182052,11.613818,9.3,11.4,0,11.386599,0.185,1351,11.4
48.182051,11.613818,9.5,11.5,98.472,11.507298,38.485,1514,11.5
48.182051,11.613819,9.7,11.6,40.08,11.600036,1.98,975,11.6
48.182052,11.613819,9.8,11.7,0,11.694842,0.044,135,11.7
48.182052,11.613819,9.9,11.8,59.072,11.800206,31.187,1514,11.8
48.182052,11.613819,9.9,11.9,0.632,11.9024,15.987,79,11.9
48.182051,11.613819,10,12,88.112,12.007252,35.698,1514,12
48.182051,11.613818,10,12.1,0.608,12.102415,9.902,76,12.1
48.182051,11.613818,10,12.2,0,12.216309,36.727,1514,12.2
48.182051,11.613818,9.9,12.3,91.016,12.299329,38.277,1514,12.3
48.182051,11.613818,9.9,12.4,0,12.384999,0.099,489,12.4
48.182051,11.613818,9.9,12.5,96.896,12.507927,36.903,1514,12.5
48.182051,11.613818,9.9,12.6,0,12.595564,0.491,1308,12.6
48.18205,11.613817,9.9,12.7,0,12.691932,15.144,76,12.7
48.182051,11.613817,9.8,12.9,0,12.88548,0.029,225,12.9
48.182051,11.613817,9.8,13,84.784,13.008147,23.207,1514,13
48.182051,11.613817,9.8,13.1,0,13.09536,0.649,1168,13.1
48.182052,11.613816,9.8,13.2,0,13.190128,0.034,179,13.2
48.182053,11.613817,9.8,13.3,156.456,13.300594,25.344,1514,13.3
48.182054,11.613816,9.8,13.4,0,13.398544,0.16,1313,13.4
48.182055,11.613817,9.8,13.5,12.112,13.50959,37.846,1514,13.5
48.182055,11.613817,9.8,13.6,0,13.593275,0.037,1110,13.6
48.182056,11.613818,9.9,13.7,0,13.719035,43.372,1514,13.7
48.182057,11.613818,9.9,13.8,21.376,13.800688,33.971,1514,13.8
48.182058,11.613819,9.9,13.9,0,13.88452,0.052,591,13.9
48.182059,11.613819,9.9,14,24.224,14.009247,35.934,1514,14
48.18206,11.613819,9.9,14.1,0,14.094087,0.042,304,14.1
48.182061,11.61382,9.9,14.2,0,14.187834,0.084,541,14.2
48.182062,11.61382,9.9,14.3,50.584,14.299287,27.649,91,14.3
48.182064,11.613821,9.9,14.4,0,14.390151,2.779,137,14.4
48.182065,11.613821,9.9,14.5,12.112,14.509819,37.396,1514,14.5
48.182066,11.613821,9.9,14.6,0,14.599061,0.018,1372,14.6
48.182067,11.613822,9.9,14.7,0,14.688651,6.176,79,14.7
48.182068,11.613822,9.9,14.8,12.112,14.799911,0.021,158,14.8
48.18207,11.613823,9.9,14.9,0.672,14.893466,0.019,1245,14.9
48.182071,11.613823,9.9,15,0,14.99481,2.709,77,15
48.182072,11.613824,9.9,15.1,31.192,15.099891,0.511,1514,15.1
48.182074,11.613824,9.9,15.2,0.672,15.193946,0.032,77,15.2
48.182075,11.613825,9.9,15.3,0.632,15.297801,20.065,79,15.3
48.182076,11.613826,9.9,15.4,0,15.389283,9.451,1514,15.4
48.182078,11.613827,9.9,15.5,0,15.510907,24.828,1514,15.5
48.182079,11.613828,9.9,15.6,12.112,15.601632,24.351,1514,15.6
48.18208,11.613829,9.9,15.7,0.632,15.702633,13.747,79,15.7
48.182081,11.61383,9.9,15.8,90.272,15.803302,24.266,1514,15.8
48.182082,11.613831,9.9,15.9,0,15.888834,0.277,1297,15.9
