,Time (s),Data Rate (kbps),avg_Time (s),avg_Packet Interval (ms),avg_Packet Length (bytes),stdDev_Time (s),stdDev_Packet Interval (ms),stdDev_Packet Length (bytes),avg_OSD.flyTime [s],avg_CUSTOM.hSpeed [m/s],avg_CUSTOM.distance [m],avg_CALC.hSpeed [m/s],avg_CALC.distance [m],avg_OSD.latitude,avg_OSD.longitude,avg_OSD.height [m],avg_OSD.altitude [m],avg_OSD.xSpeed [m/s],avg_OSD.ySpeed [m/s],avg_OSD.zSpeed [m/s],avg_OSD.pitch,avg_OSD.roll,avg_OSD.yaw,stdDev_OSD.flyTime [s],stdDev_CUSTOM.hSpeed [m/s],stdDev_CUSTOM.distance [m],stdDev_CALC.hSpeed [m/s],stdDev_CALC.distance [m],stdDev_OSD.latitude,stdDev_OSD.longitude,stdDev_OSD.height [m],stdDev_OSD.altitude [m],stdDev_OSD.xSpeed [m/s],stdDev_OSD.ySpeed [m/s],stdDev_OSD.zSpeed [m/s],stdDev_OSD.pitch,stdDev_OSD.roll,stdDev_OSD.yaw
Time (s),1.0,0.0034859446596015578,0.9999999200770608,-0.00434867885160842,0.014988746931044667,-0.0188370149745456,-0.01636950427931909,-0.044503026389665586,0.9999999496006875,-0.14360259063013148,0.9902722739595223,-0.10210198423706944,0.09825982872182724,-0.2456673406082618,0.15083022651322947,-0.03610519289562114,-0.036105192910607216,0.021094132036280536,-0.12386666727236932,0.31576401926320846,0.1459003726696914,-0.04227009600704108,0.8708562239049741,0.09004466008971886,0.00235480532716481,-0.12872106345598688,-0.15412015206479643,-0.20805450133167003,-0.1541760469825047,-0.02756713050605055,0.03678278721769504,0.03678278721768637,-0.0259804428801042,0.13735582131848526,-0.09673309725359086,0.15200120408526702,0.05649246550705744,0.004559612824761391
Data Rate (kbps),0.0034859446596015578,1.0,0.0034948864007441054,-0.8425250827866871,0.9210011531295861,-0.05846616535339294,-0.6971049148000695,-0.20929785882277366,0.003518366838359761,-0.016011143493194106,-0.05045480801779322,0.1070675444653809,-0.19592697763633135,0.004598731670585149,-0.09066338217777928,-0.41447386810547987,-0.4144738680898083,0.04513693103489308,0.06382947225101135,-0.2123105751303737,-0.09914551158034422,0.09378894618594122,0.10128838090799276,0.0933363806223654,0.09040866474860006,-0.01072165954665942,-0.03074946394352253,0.01757974175896566,-0.014198782437828902,0.03504390993793564,0.019382715232531725,0.01938271523253733,0.07956130943948776,0.10519329024084599,-0.004121797335242883,0.13333959286082225,0.04495554187254138,0.12176457345731317
avg_Time (s),0.9999999200770608,0.0034948864007441054,1.0,-0.004358923085112579,0.01499310360984637,-0.018795398446708567,-0.016410138062511632,-0.04453336450212171,0.9999998987298809,-0.1435693809880911,0.9902786846237699,-0.1020608187047084,0.09824927212569913,-0.24569167577799975,0.15081359326372573,-0.03608740956587466,-0.0360874095808572,0.02109145079162876,-0.1238852673251755,0.31575124690390793,0.14586551733842643,-0.04227422280635973,0.8708521469514154,0.09018163633161905,0.0023784008546113766,-0.12866477093833317,-0.15411175995114323,-0.20799831553109657,-0.15412449247961374,-0.027522289171544312,0.03673987065245342,0.03673987065244461,-0.025959686425927293,0.13736314478813896,-0.09675056203868333,0.15201103321479906,0.05650734905385914,0.004565744352983667
avg_Packet Interval (ms),-0.00434867885160842,-0.8425250827866871,-0.004358923085112579,1.0,-0.8897294507896315,0.12506374417223393,0.8198109258630415,-0.24144663926465107,-0.004391425668015296,0.003143006556655922,0.023904338687639425,-0.10058517265847676,0.12885741232411815,0.025617757716789567,0.058320384093462116,0.22883118035749925,0.22883118032480604,-0.0632608696152372,-0.06055414599932851,0.18736610896919512,0.03419474821373203,-0.028025088883005093,-0.09672341203604334,-0.059847934010201054,-0.07751185861270919,0.004257269393246763,0.02760860821543407,-0.006688774733245566,0.004312499404809631,-0.034936810737841204,-0.003626451467069433,-0.0036264514670796234,-0.07022630774051855,-0.0876822036288321,0.01715122435925088,-0.08479533417513127,-0.04652028149515394,-0.06508336839612447
avg_Packet Length (bytes),0.014988746931044667,0.9210011531295861,0.01499310360984637,-0.8897294507896315,1.0,-0.011549259665937159,-0.7338071119738763,0.0740166517623826,0.015025085730104115,-0.01260777720380884,-0.022564835947690574,0.10335611784644022,-0.14464713052472117,-0.02059031044366837,-0.07270891433404134,-0.27673441835462387,-0.27673441832870993,0.08502827358884157,0.07986261048381628,-0.20040996037688288,-0.05462598997369258,0.041267092154879025,0.11111998281208237,0.043124654609414136,0.06714974727275706,-0.018296630806692984,-0.06164622280624229,-0.00528883226216324,-0.01333010855900692,0.022206774325653583,0.022070669253160292,0.022070669253168373,0.06069505359631184,0.08661828753732387,-0.0032518231586377206,0.08940078035288936,0.033842059289720554,0.0835285789554422
stdDev_Time (s),-0.0188370149745456,-0.05846616535339294,-0.018795398446708567,0.12506374417223393,-0.011549259665937159,1.0,0.056684092513545725,-0.08556512895888355,-0.018764807882186787,-0.06751606713749538,-0.009227331458748747,-0.035801971126756,0.10216865184215466,-0.012350694627680322,0.03004076641095531,-0.0025825239491666613,-0.0025825239549954844,0.13045968012279846,0.10523882865178062,0.0022369293233817943,0.07548668180675767,-0.11946758271518705,-0.010400504491520156,0.20179915231114987,-0.001383941222752644,-0.04061154408822067,-0.19363444026291485,-0.048796562174071564,-0.026071455542181602,-0.023407142574487463,0.02300628907233021,0.02300628907231176,-0.005278209237674897,0.0004131669634925307,0.20063275346157744,-0.020065410533886847,0.060620383609656034,0.020748407035956998
stdDev_Packet Interval (ms),-0.01636950427931909,-0.6971049148000695,-0.016410138062511632,0.8198109258630415,-0.7338071119738763,0.056684092513545725,1.0,-0.19796193861285546,-0.016408846061556133,0.06444993547234559,-0.008060178515715472,-0.07827948019404377,-0.07260225455384674,0.013841005642429018,-0.02620349748399329,-0.03524118329398309,-0.03524118331879863,-0.051855161866666194,-0.033904581068445266,0.15090904795771998,-0.0031496693601475796,0.03472704618758258,-0.07731200640704547,-0.11679623743327043,-0.09267746381241895,0.061740256116006254,0.1537197749970834,0.030360983825693535,0.05259472279750237,0.027220908437653863,-0.06333029329732641,-0.06333029329735095,-0.08310505866749424,-0.0651592837839166,0.015102447935558724,-0.04243147565737833,-0.046985017666751436,-0.06117506427755218
stdDev_Packet Length (bytes),-0.044503026389665586,-0.20929785882277366,-0.04453336450212171,-0.24144663926465107,0.0740166517623826,-0.08556512895888355,-0.19796193861285546,1.0,-0.04448368631263745,0.016785143036209083,-0.007449419611740365,-0.0115383845432507,0.06681794019457525,0.019746084816007568,0.0671106748985851,0.26837778653499583,0.26837778657331773,0.04043848740880642,0.012189389798370271,0.009069599733337328,0.08466444984139881,-0.08624950365926824,-0.04782528655423265,-0.1485366811901284,-0.005837786223806814,-0.007625822508313899,0.018172078539154462,-0.031082650400111402,-0.002767706475482551,-0.010258001121983485,-0.044508578044074765,-0.04450857804406444,-0.00027558446107943006,-0.01283652432541551,-0.00157431305598598,-0.03916935629945825,0.038763299509932424,-0.07371589870066073
avg_OSD.flyTime [s],0.9999999496006875,0.003518366838359761,0.9999998987298809,-0.004391425668015296,0.015025085730104115,-0.018764807882186787,-0.016408846061556133,-0.04448368631263745,1.0,-0.1436126636548365,0.9902758725655629,-0.10210000426684696,0.09827629392114898,-0.24566322819781047,0.15084757384336125,-0.03609751655463302,-0.03609751656961054,0.021119764538390737,-0.12385264196861931,0.315755712866244,0.14590454477246173,-0.04229069724488619,0.8708566348854253,0.0903077546603001,0.002360988939744408,-0.12869831692404907,-0.15413436706892586,-0.2080316172394887,-0.15415361045351084,-0.027546569754431562,0.03678489503181672,0.03678489503180808,-0.025974710959485184,0.13736282563420654,-0.0967266888955219,0.15200524256141962,0.056507391800225376,0.004570886239774136
avg_CUSTOM.hSpeed [m/s],-0.14360259063013148,-0.016011143493194106,-0.1435693809880911,0.003143006556655922,-0.01260777720380884,-0.06751606713749538,0.06444993547234559,0.016785143036209083,-0.1436126636548365,1.0,-0.13094896622296115,0.9437814719806478,-0.16446528348622533,-0.07579894233158029,0.09024273093081979,0.018747545504294815,0.018747545512216197,-0.036816420915761594,0.005157450492125861,0.046620877916903176,0.03403657435213296,0.0826587901001174,-0.03275485525193415,-0.0754996853632499,0.19843487224317732,0.9873118804089663,0.7076088597093847,0.8494639091632235,0.9809462724031099,0.8890959104754107,-0.5314336166385644,-0.5314336166385345,0.1971660267166239,0.2391263926695255,-0.2845862050221929,0.04636908276585566,0.09553282646640063,-0.09419190120638472
avg_CUSTOM.distance [m],0.9902722739595223,-0.05045480801779322,0.9902786846237699,0.023904338687639425,-0.022564835947690574,-0.009227331458748747,-0.008060178515715472,-0.007449419611740365,0.9902758725655629,-0.13094896622296115,1.0,-0.09697209185985081,0.15105524883813753,-0.26243156782195387,0.18459003484745984,0.06855564163244185,0.06855564161869482,0.029704092859819918,-0.13025548676178195,0.29319638720928354,0.18013165153852895,-0.07085446000874705,0.8513744474666245,0.10118288542323887,-0.01030838594225027,-0.1172220311446823,-0.15378374840025533,-0.20174212481941634,-0.13888646966846904,-0.02769280617396015,0.05786241995213118,0.05786241995212328,-0.03535080102504494,0.11533870998135393,-0.09089994228516174,0.13077883594289244,0.0535858406624179,-0.01913956352496363
avg_CALC.hSpeed [m/s],-0.10210198423706944,0.1070675444653809,-0.1020608187047084,-0.10058517265847676,0.10335611784644022,-0.035801971126756,-0.07827948019404377,-0.0115383845432507,-0.10210000426684696,0.9437814719806478,-0.09697209185985081,1.0,-0.15778447987761746,-0.06160042045618651,0.09510668956555055,-0.006923949219700369,-0.0069239492065028265,-0.035053754144870934,-0.020794496736796213,0.04084254653477216,0.030646394430059582,0.07699577661279965,0.0134177960724768,-0.03472028205494191,0.21227646057003263,0.9369005965806402,0.5648206677870065,0.8136045461946105,0.9318158255499731,0.8593709112106669,-0.5094519549206246,-0.5094519549205917,0.20991956653481997,0.2641186850271722,-0.27250647044833926,0.07238306648780077,0.12451396606095241,-0.08197513535353057
avg_CALC.distance [m],0.09825982872182724,-0.19592697763633135,0.09824927212569913,0.12885741232411815,-0.14464713052472117,0.10216865184215466,-0.07260225455384674,0.06681794019457525,0.09827629392114898,-0.16446528348622533,0.15105524883813753,-0.15778447987761746,1.0,0.00998502210935564,0.5540167391234335,0.5071866982993664,0.5071866982994724,-0.08752997342869513,0.011706762505994775,-0.048820000476063614,0.16395682200258743,-0.14399317782668059,0.2125477441732777,0.08196391655963833,5.9257180075799e-06,-0.168272515466435,-0.1774705876098001,-0.19153323694140229,-0.18357291040692136,-0.07454657826259208,0.37248534241432524,0.372485342414324,-0.009652451126808598,-0.0223382628811559,0.07786836647135936,-0.11056336918044428,0.029110113845738292,0.0027802760522491563
