,Data Rate (kbps),Avg. Packet Interval (ms),Avg. Packet Length (bytes),Horizontal Speed (m/s),Distance (m),Latitude,Longitude,Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Pitch (deg),Roll (deg),Yaw (deg)
Data Rate (kbps),1.0,-0.4751495818813998,0.6625947712628735,-0.08540009241320758,-0.3708835551389279,-0.19112816048305442,-0.4845738787750279,-0.6644760526687808,-0.0714232862569588,-0.012944317135439098,0.13974330206503152,-0.14903339929198262,0.1355978587415588,0.03795019366619185
Avg. Packet Interval (ms),-0.4751495818813998,1.0,-0.1743176679247597,0.04262325740166228,0.23785838726355307,0.17729550570461597,0.35607022013282474,0.30781829716415116,0.11412142499640668,0.0955000892776535,-0.02123342318476109,0.1555922415841641,-0.13648429360784042,0.07458923772800817
Avg. Packet Length (bytes),0.6625947712628735,-0.1743176679247597,1.0,-0.0810681160058374,-0.3630576841416093,-0.12856448303630297,-0.3776905882989495,-0.49359257115279054,-0.005604637848753137,-0.0264291761174546,0.12431592589468528,-0.1662747643015725,0.07936727486081317,-0.11643249381973154
Horizontal Speed (m/s),-0.08540009241320758,0.04262325740166228,-0.0810681160058374,1.0,0.02532617358116971,0.08576678567511543,0.19345632743324995,0.039785793523179895,-0.11168124379989383,-0.22528563985028552,0.009074681433843473,-0.2682971876700261,0.11868676034199155,-0.18049303143471734
Distance (m),-0.3708835551389279,0.23785838726355307,-0.3630576841416093,0.02532617358116971,1.0,-0.27548163169485973,0.6123295411609687,0.3953548641498469,0.0612376053347866,0.05007553311648303,-0.23757443945297105,0.14082646851295064,-0.04290471999012744,0.2395280604864946
Latitude,-0.19112816048305442,0.17729550570461597,-0.12856448303630297,0.08576678567511543,-0.27548163169485973,1.0,0.4976127517134696,0.06032987345480571,0.001679925469912787,-0.11375208194706514,-0.07734743040076056,-0.18956502526820776,0.24131954568548056,-0.26263740286958825
Longitude,-0.4845738787750279,0.35607022013282474,-0.3776905882989495,0.19345632743324995,0.6123295411609687,0.4976127517134696,1.0,0.379152960411386,0.09559977645364494,-0.008269113822942577,-0.26452300745291557,0.014179914318457788,0.11910540589622844,-0.008844238784748867
Height (m),-0.6644760526687808,0.30781829716415116,-0.49359257115279054,0.039785793523179895,0.3953548641498469,0.06032987345480571,0.379152960411386,1.0,-0.017734384415285003,-0.16138372632331788,-0.00034562261193661284,0.07338418879141188,-0.07415909864806475,-0.27604705647521055
Speed - x (m/s),-0.0714232862569588,0.11412142499640668,-0.005604637848753137,-0.11168124379989383,0.0612376053347866,0.001679925469912787,0.09559977645364494,-0.017734384415285003,1.0,0.7684838883471693,0.00662197804782224,0.09289523264427306,-0.6200090173063882,0.11308251111196935
Speed - y (m/s),-0.012944317135439098,0.0955000892776535,-0.0264291761174546,-0.22528563985028552,0.05007553311648303,-0.11375208194706514,-0.008269113822942577,-0.16138372632331788,0.7684838883471693,1.0,0.003636364877269055,0.3507428336305699,-0.5305209150989825,0.45377416794993414
Speed - z (m/s),0.13974330206503152,-0.02123342318476109,0.12431592589468528,0.009074681433843473,-0.23757443945297105,-0.07734743040076056,-0.26452300745291557,-0.00034562261193661284,0.00662197804782224,0.003636364877269055,1.0,-0.0019064299002913817,-0.06991745583187127,-0.024020381832668313
Pitch (deg),-0.14903339929198262,0.1555922415841641,-0.1662747643015725,-0.2682971876700261,0.14082646851295064,-0.18956502526820776,0.014179914318457788,0.07338418879141188,0.09289523264427306,0.3507428336305699,-0.0019064299002913817,1.0,-0.17413543374982204,0.5877145342273886
Roll (deg),0.1355978587415588,-0.13648429360784042,0.07936727486081317,0.11868676034199155,-0.04290471999012744,0.24131954568548056,0.11910540589622844,-0.07415909864806475,-0.6200090173063882,-0.5305209150989825,-0.06991745583187127,-0.17413543374982204,1.0,-0.26715247272959747
Yaw (deg),0.03795019366619185,0.07458923772800817,-0.11643249381973154,-0.18049303143471734,0.2395280604864946,-0.26263740286958825,-0.008844238784748867,-0.27604705647521055,0.11308251111196935,0.45377416794993414,-0.024020381832668313,0.5877145342273886,-0.26715247272959747,1.0
