,OSD.flyTime [s],CUSTOM.hSpeed [m/s],CUSTOM.distance [m],CALC.hSpeed [m/s],CALC.distance [m],OSD.latitude,OSD.longitude,OSD.height [m],OSD.altitude [m],OSD.xSpeed [m/s],OSD.ySpeed [m/s],OSD.zSpeed [m/s],OSD.pitch,OSD.roll,OSD.yaw
OSD.flyTime [s],1.0,-0.0840936378718462,0.9905059943089131,-0.08112643932317637,0.01691494613550345,0.04387283170245432,0.2367286376525288,0.24416118211105592,0.2441611821110533,0.024111894340504748,-0.11242012928258296,0.29823695048924115,-0.029681129546674786,0.03933720339404924,-0.2789122275398696
CUSTOM.hSpeed [m/s],-0.0840936378718462,1.0,-0.07933961186192692,0.6282255394712777,0.09414177981406241,0.11236519380815438,0.30779936097430954,0.14622390647656044,0.1462239064765601,0.012878455187241388,-0.16254652086092056,0.010765209465889871,-0.2729538768014652,-0.004846851668179429,-0.1889558454660227
CUSTOM.distance [m],0.9905059943089131,-0.07933961186192692,1.0,-0.08106586914780425,-0.01635453269360484,0.10033437004699754,0.23487842582595866,0.31407045676033785,0.31407045676033635,0.011963744416568459,-0.14521551981259406,0.30874203186523025,-0.04200106664940849,0.04284623853831782,-0.33717142018156593
CALC.hSpeed [m/s],-0.08112643932317637,0.6282255394712777,-0.08106586914780425,1.0,0.02973921753407838,0.05835178060215239,0.1550478103213821,0.03559389112629733,0.035593891126297704,-0.05052512330161408,-0.15187150683085104,0.0077000767969880824,-0.19658504972170987,0.05619743724982377,-0.13639945702193196
CALC.distance [m],0.01691494613550345,0.09414177981406241,-0.01635453269360484,0.02973921753407838,1.0,-0.30053924766252205,0.6052802592635296,0.3986801744351857,0.39868017443518355,0.05921061504447902,0.04797005028302212,-0.23893772166047547,0.12678567216676184,-0.04797092285724611,0.23710349018971175
OSD.latitude,0.04387283170245432,0.11236519380815438,0.10033437004699754,0.05835178060215239,-0.30053924766252205,1.0,0.48263416441984147,0.03575931606576455,0.03575931606576351,0.002817974386144101,-0.1153255313426015,-0.07638633390511738,-0.19241423089318535,0.21611334444396949,-0.27061794976163106
OSD.longitude,0.2367286376525288,0.30779936097430954,0.23487842582595866,0.1550478103213821,0.6052802592635296,0.48263416441984147,1.0,0.37347360712794797,0.37347360712794453,0.09344485411552331,-0.012421880866184863,-0.2683877206428904,0.0035296298417263903,0.0985441230526812,-0.014470153143501582
OSD.height [m],0.24416118211105592,0.14622390647656044,0.31407045676033785,0.03559389112629733,0.3986801744351857,0.03575931606576455,0.37347360712794797,1.0,0.9999999999999809,-0.005463565093586925,-0.15546128387430086,-0.0022365892680434934,0.05383840699122399,-0.07247921005831284,-0.2859021538716818
OSD.altitude [m],0.2441611821110533,0.1462239064765601,0.31407045676033635,0.035593891126297704,0.39868017443518355,0.03575931606576351,0.37347360712794453,0.9999999999999809,1.0,-0.005463565093586688,-0.15546128387429908,-0.002236589268043163,0.05383840699122331,-0.07247921005831275,-0.28590215387168
OSD.xSpeed [m/s],0.024111894340504748,0.012878455187241388,0.011963744416568459,-0.05052512330161408,0.05921061504447902,0.002817974386144101,0.09344485411552331,-0.005463565093586925,-0.005463565093586688,1.0,0.764927381808545,0.006996239646772891,0.09062436060254365,-0.5806820374955127,0.11661124217436188
OSD.ySpeed [m/s],-0.11242012928258296,-0.16254652086092056,-0.14521551981259406,-0.15187150683085104,0.04797005028302212,-0.1153255313426015,-0.012421880866184863,-0.15546128387430086,-0.15546128387429908,0.764927381808545,1.0,0.00376297961727209,0.3482283953606069,-0.49682754006181046,0.4524343085895078
OSD.zSpeed [m/s],0.29823695048924115,0.010765209465889871,0.30874203186523025,0.0077000767969880824,-0.23893772166047547,-0.07638633390511738,-0.2683877206428904,-0.0022365892680434934,-0.002236589268043163,0.006996239646772891,0.00376297961727209,1.0,-0.0002773051148415492,-0.06317902156360523,-0.024169547001615107
OSD.pitch,-0.029681129546674786,-0.2729538768014652,-0.04200106664940849,-0.19658504972170987,0.12678567216676184,-0.19241423089318535,0.0035296298417263903,0.05383840699122399,0.05383840699122331,0.09062436060254365,0.3482283953606069,-0.0002773051148415492,1.0,-0.15276172147071873,0.5572910789711125
OSD.roll,0.03933720339404924,-0.004846851668179429,0.04284623853831782,0.05619743724982377,-0.04797092285724611,0.21611334444396949,0.0985441230526812,-0.07247921005831284,-0.07247921005831275,-0.5806820374955127,-0.49682754006181046,-0.06317902156360523,-0.15276172147071873,1.0,-0.2509948598553564
OSD.yaw,-0.2789122275398696,-0.1889558454660227,-0.33717142018156593,-0.13639945702193196,0.23710349018971175,-0.27061794976163106,-0.014470153143501582,-0.2859021538716818,-0.28590215387168,0.11661124217436188,0.4524343085895078,-0.024169547001615107,0.5572910789711125,-0.2509948598553564,1.0
