Time (s),Packet Interval (ms),avg_Time (s),avg_Speed (m/s),avg_Distance (m),Distance (m),avg_Height (m),Height (m)
0,0,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.433,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.22,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.22,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.373,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.363,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,20.325,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,41.215,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,11.588,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.067,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.032,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.149,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.193,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.215,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.212,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,7.531,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,10.989,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.524,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.207,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.901,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.085,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.097,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.104,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.203,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.556,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.198,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.493,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.056,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.096,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.246,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.225,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.091,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.978,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.066,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.41,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.082,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.087,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.167,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.127,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.418,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.322,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.217,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.234,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.226,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.759,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.073,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.028,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.025,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.066,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.545,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.207,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.094,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.24,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.224,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.219,0.533846154,0.311538462,0.146923077,0,0.373076923,0
0,0.206,0.533846154,0.311538462,0.146923077,0,0.373076923,0
