Time (s),Packet Inter-arrival (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
0,0,0.45,0.886,0,0,0,0,0
0,20.35,0.45,0.886,0,0,0,0,0
0,5.635,0.45,0.886,0,0,0,0,0
0,6.434,0.45,0.886,0,0,0,0,0
0,0.03,0.45,0.886,0,0,0,0,0
0,8.188,0.45,0.886,0,0,0,0,0
0,20.394,0.45,0.886,0,0,0,0,0
0,20.293,0.45,0.886,0,0,0,0,0
0,20.247,0.45,0.886,0,0,0,0,0
0,20.314,0.45,0.886,0,0,0,0,0
0,7.929,0.45,0.886,0,0,0,0,0
0,12.388,0.45,0.886,0,0,0,0,0
0,21.006,0.45,0.886,0,0,0,0,0
0,20.357,0.45,0.886,0,0,0,0,0
0,20.526,0.45,0.886,0,0,0,0,0
0,20.26,0.45,0.886,0,0,0,0,0
0,9.225,0.45,0.886,0,0,0,0,0
0,0.06,0.45,0.886,0,0,0,0,0
0,12.703,0.45,0.886,0,0,0,0,0
0,20.264,0.45,0.886,0,0,0,0,0
0,20.309,0.45,0.886,0,0,0,0,0
0,20.368,0.45,0.886,0,0,0,0,0
0,21.122,0.45,0.886,0,0,0,0,0
0,5.927,0.45,0.886,0,0,0,0,0
0,7.593,0.45,0.886,0,0,0,0,0
0,7.018,0.45,0.886,0,0,0,0,0
0,20.352,0.45,0.886,0,0,0,0,0
0,20.315,0.45,0.886,0,0,0,0,0
0,20.248,0.45,0.886,0,0,0,0,0
0,10.667,0.45,0.886,0,0,0,0,0
0,10.263,0.45,0.886,0,0,0,0,0
0,4.471,0.45,0.886,0,0,0,0,0
0,15.845,0.45,0.886,0,0,0,0,0
0,20.257,0.45,0.886,0,0,0,0,0
0,20.469,0.45,0.886,0,0,0,0,0
1,20.248,1.45,1.134,0,0,0,0,0
1,21.244,1.45,1.134,0,0,0,0,0
1,2.85,1.45,1.134,0,0,0,0,0
1,0.421,1.45,1.134,0,0,0,0,0
1,0.647,1.45,1.134,0,0,0,0,0
1,16.481,1.45,1.134,0,0,0,0,0
1,20.991,1.45,1.134,0,0,0,0,0
1,20.929,1.45,1.134,0,0,0,0,0
1,20.354,1.45,1.134,0,0,0,0,0
1,20.852,1.45,1.134,0,0,0,0,0
1,20.269,1.45,1.134,0,0,0,0,0
1,20.263,1.45,1.134,0,0,0,0,0
1,20.25,1.45,1.134,0,0,0,0,0
1,20.261,1.45,1.134,0,0,0,0,0
1,20.803,1.45,1.134,0,0,0,0,0
1,20.858,1.45,1.134,0,0,0,0,0
1,20.312,1.45,1.134,0,0,0,0,0
1,9.652,1.45,1.134,0,0,0,0,0
1,11.038,1.45,1.134,0,0,0,0,0
1,12.049,1.45,1.134,0,0,0,0,0
1,8.646,1.45,1.134,0,0,0,0,0
1,20.253,1.45,1.134,0,0,0,0,0
1,20.87,1.45,1.134,0,0,0,0,0
1,20.797,1.45,1.134,0,0,0,0,0
1,20.271,1.45,1.134,0,0,0,0,0
1,8.322,1.45,1.134,0,0,0,0,0
1,11.925,1.45,1.134,0,0,0,0,0
1,18.068,1.45,1.134,0,0,0,0,0
1,2.721,1.45,1.134,0,0,0,0,0
1,20.282,1.45,1.134,0,0,0,0,0
1,20.257,1.45,1.134,0,0,0,0,0
1,20.247,1.45,1.134,0,0,0,0,0
1,20.883,1.45,1.134,0,0,0,0,0
1,15.075,1.45,1.134,0,0,0,0,0
1,1.251,1.45,1.134,0,0,0,0,0
1,2.149,1.45,1.134,0,0,0,0,0
1,1.747,1.45,1.134,0,0,0,0,0
1,20.245,1.45,1.134,0,0,0,0,0
1,21.752,1.45,1.134,0,0,0,0,0
1,10.878,1.45,1.134,0,0,0,0,0
1,9.355,1.45,1.134,0,0,0,0,0
1,20.443,1.45,1.134,0,0,0,0,0
1,15.052,1.45,1.134,0,0,0,0,0
1,5.181,1.45,1.134,0,0,0,0,0
1,20.246,1.45,1.134,0,0,0,0,0
1,20.245,1.45,1.134,0,0,0,0,0
1,20.274,1.45,1.134,0,0,0,0,0
1,20.539,1.45,1.134,0,0,0,0,0
1,15.42,1.45,1.134,0,0,0,0,0
1,0.066,1.45,1.134,0,0,0,0,0
1,4.799,1.45,1.134,0,0,0,0,0
1,20.252,1.45,1.134,0,0,0,0,0
1,20.252,1.45,1.134,0,0,0,0,0
1,8.578,1.45,1.134,0,0,0,0,0
1,11.679,1.45,1.134,0,0,0,0,0
1,21.712,1.45,1.134,0,0,0,0,0
1,13.41,1.45,1.134,0,0,0,0,0
1,13.111,1.45,1.134,0,0,0,0,0
1,20.338,1.45,1.134,0,0,0,0,0
1,20.239,1.45,1.134,0,0,0,0,0
1,20.24,1.45,1.134,0,0,0,0,0
1,17.197,1.45,1.134,0,0,0,0,0
1,3.015,1.45,1.134,0,0,0,0,0
1,7.512,1.45,1.134,0,0,0,0,0
1,13.67,1.45,1.134,0,0,0,0,0
1,20.261,1.45,1.134,0,0,0,0,0
2,20.348,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.248,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.239,2.45,1.274,0.08,0,0,-0.29,0.29
2,5.806,2.45,1.274,0.08,0,0,-0.29,0.29
2,0.346,2.45,1.274,0.08,0,0,-0.29,0.29
2,0.562,2.45,1.274,0.08,0,0,-0.29,0.29
2,17.971,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.268,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.26,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.513,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.269,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.257,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.264,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.24,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.547,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.279,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.255,2.45,1.274,0.08,0,0,-0.29,0.29
2,11.435,2.45,1.274,0.08,0,0,-0.29,0.29
2,8.816,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.249,2.45,1.274,0.08,0,0,-0.29,0.29
2,0.908,2.45,1.274,0.08,0,0,-0.29,0.29
2,19.334,2.45,1.274,0.08,0,0,-0.29,0.29
2,20.866,2.45,1.274,0.08,0,0,-0.29,0.29
