Time (s),Packet Interval (ms),avg_OSD.flyTime [s],Distance (m),Height (m),Speed - x (m/s),Speed - y (m/s),Speed - z (m/s),Speed (m/s)
0,0,0.45,1.564,0,0,0,0,0
0,10.339,0.45,1.564,0,0,0,0,0
0,6.867,0.45,1.564,0,0,0,0,0
0,29.825,0.45,1.564,0,0,0,0,0
0,14.439,0.45,1.564,0,0,0,0,0
0,9.561,0.45,1.564,0,0,0,0,0
0,1.706,0.45,1.564,0,0,0,0,0
0,13.735,0.45,1.564,0,0,0,0,0
0,0.061,0.45,1.564,0,0,0,0,0
0,0.034,0.45,1.564,0,0,0,0,0
0,2.948,0.45,1.564,0,0,0,0,0
0,17.907,0.45,1.564,0,0,0,0,0
0,2.958,0.45,1.564,0,0,0,0,0
0,20.479,0.45,1.564,0,0,0,0,0
0,21.731,0.45,1.564,0,0,0,0,0
0,33.58,0.45,1.564,0,0,0,0,0
0,0.36,0.45,1.564,0,0,0,0,0
0,14.673,0.45,1.564,0,0,0,0,0
0,6.204,0.45,1.564,0,0,0,0,0
0,0.986,0.45,1.564,0,0,0,0,0
0,2.706,0.45,1.564,0,0,0,0,0
0,12.954,0.45,1.564,0,0,0,0,0
0,25.33,0.45,1.564,0,0,0,0,0
0,3.39,0.45,1.564,0,0,0,0,0
0,18.846,0.45,1.564,0,0,0,0,0
0,15.569,0.45,1.564,0,0,0,0,0
0,10.516,0.45,1.564,0,0,0,0,0
0,12.418,0.45,1.564,0,0,0,0,0
0,9.514,0.45,1.564,0,0,0,0,0
0,29.892,0.45,1.564,0,0,0,0,0
0,22.098,0.45,1.564,0,0,0,0,0
0,9.169,0.45,1.564,0,0,0,0,0
0,2.534,0.45,1.564,0,0,0,0,0
0,1.315,0.45,1.564,0,0,0,0,0
0,6.567,0.45,1.564,0,0,0,0,0
0,0.136,0.45,1.564,0,0,0,0,0
0,16.039,0.45,1.564,0,0,0,0,0
0,3.683,0.45,1.564,0,0,0,0,0
0,0.811,0.45,1.564,0,0,0,0,0
0,1.485,0.45,1.564,0,0,0,0,0
0,74.099,0.45,1.564,0,0,0,0,0
0,5.066,0.45,1.564,0,0,0,0,0
0,0.068,0.45,1.564,0,0,0,0,0
0,3.974,0.45,1.564,0,0,0,0,0
1,10.304,1.45,1.773,0,0,0,0,0
1,1.069,1.45,1.773,0,0,0,0,0
1,20.265,1.45,1.773,0,0,0,0,0
1,22.988,1.45,1.773,0,0,0,0,0
1,21.478,1.45,1.773,0,0,0,0,0
1,18.701,1.45,1.773,0,0,0,0,0
1,4.674,1.45,1.773,0,0,0,0,0
1,0.635,1.45,1.773,0,0,0,0,0
1,12.196,1.45,1.773,0,0,0,0,0
1,1.275,1.45,1.773,0,0,0,0,0
1,10.2,1.45,1.773,0,0,0,0,0
