Time "Packet Inter-arrival (ms)" "Time (s)" "avg_OSD.height [m]"
0.005868 0.0 0.0 0.0
0.026152 20.284 0.0 0.0
0.048746 22.594 0.0 0.0
0.073129 24.383 0.0 0.0
0.088801 15.672 0.0 0.0
0.088873 0.072 0.0 0.0
0.090098 1.225 0.0 0.0
0.090502 0.404 0.0 0.0
0.0934 2.898 0.0 0.0
0.125889 32.489 0.0 0.0
0.144719 18.83 0.0 0.0
0.171544 26.825 0.0 0.0
0.179537 7.993 0.0 0.0
0.20248 22.943 0.0 0.0
0.203293 0.813 0.0 0.0
0.206821 3.528 0.0 0.0
0.218283 11.462 0.0 0.0
0.24013 21.847 0.0 0.0
0.264489 24.359 0.0 0.0
0.284893 20.404 0.0 0.0
0.308163 23.27 0.0 0.0
0.328751 20.588 0.0 0.0
0.349042 20.291 0.0 0.0
0.378541 29.499 0.0 0.0
0.388737 10.196 0.0 0.0
0.395693 6.956 0.0 0.0
0.41131 15.617 0.0 0.0
0.43164 20.33 0.0 0.0
0.451943 20.303 0.0 0.0
0.47227 20.327 0.0 0.0
0.495023 22.753 0.0 0.0
0.49748 2.457 0.0 0.0
0.515624 18.144 1.0 0.0
0.535933 20.309 1.0 0.0
0.556223 20.29 1.0 0.0
0.5781 21.877 1.0 0.0
0.57944 1.34 1.0 0.0
0.582457 3.017 1.0 0.0
0.583952 1.495 1.0 0.0
0.585775 1.823 1.0 0.0
0.585836 0.061 1.0 0.0
0.585891 0.055 1.0 0.0
0.602728 16.837 1.0 0.0
0.623407 20.679 1.0 0.0
0.62654 3.133 1.0 0.0
0.651412 24.872 1.0 0.0
0.672585 21.173 1.0 0.0
0.693698 21.113 1.0 0.0
0.715333 21.635 1.0 0.0
0.735692 20.359 1.0 0.0
0.755982 20.29 1.0 0.0
0.783927 27.945 1.0 0.0
0.803136 19.209 1.0 0.0
0.831195 28.059 1.0 0.0
0.841731 10.536 1.0 0.0
0.842905 1.174 1.0 0.0
0.870811 27.906 1.0 0.0
0.909476 38.665 1.0 0.0
0.91052 1.044 1.0 0.0
0.924801 14.281 1.0 0.0
0.963421 38.62 1.0 0.0
0.975809 12.388 1.0 0.0
1.000826 25.017 1.0 0.0
1.021497 20.671 1.0 0.0
1.04801 26.513 1.0 0.0
1.069377 21.367 1.0 0.0
1.096346 26.969 1.0 0.0
1.107884 11.538 1.0 0.0
1.107945 0.061 1.0 0.0
1.107991 0.046 1.0 0.0
1.108029 0.038 1.0 0.0
1.122469 14.44 1.0 0.0
1.143278 20.809 1.0 0.0
1.166816 23.538 1.0 0.0
1.190582 23.766 1.0 0.0
1.197603 7.021 1.0 0.0
1.211057 13.454 1.0 0.0
1.214052 2.995 1.0 0.0
1.233527 19.475 1.0 0.0
1.234675 1.148 1.0 0.0
1.236134 1.459 1.0 0.0
1.264114 27.98 1.0 0.0
1.287418 23.304 1.0 0.0
1.314841 27.423 1.0 0.0
1.335673 20.832 1.0 0.0
1.36834 32.667 1.0 0.0
1.399051 30.711 1.0 0.0
1.409241 10.19 1.0 0.0
1.415164 5.923 1.0 0.0
1.439744 24.58 1.0 0.0
1.450481 10.737 1.0 0.0
1.48783 37.349 1.0 0.0
1.498017 10.187 1.0 0.0
1.514631 16.614 2.0 0.08
1.518443 3.812 2.0 0.08
1.542292 23.849 2.0 0.08
1.566688 24.396 2.0 0.08
1.619498 52.81 2.0 0.08
1.631318 11.82 2.0 0.08
1.651699 20.381 2.0 0.08
1.67553 23.831 2.0 0.08
1.695858 20.328 2.0 0.08
1.716873 21.015 2.0 0.08
1.738915 22.042 2.0 0.08
1.759237 20.322 2.0 0.08
1.785502 26.265 2.0 0.08
1.80889 23.388 2.0 0.08
1.819408 10.518 2.0 0.08
1.829562 10.154 2.0 0.08
1.85174 22.178 2.0 0.08
1.879555 27.815 2.0 0.08
1.905415 25.86 2.0 0.08
1.921803 16.388 2.0 0.08
1.92187 0.067 2.0 0.08
1.925721 3.851 2.0 0.08
1.946634 20.913 2.0 0.08
