Time,Packet Inter-arrival (s),Time (s),avg_OSD.height [m]
0.005868,0,0,0
0.026152,0.020284,0,0
0.048746,0.022594,0,0
0.073129,0.024383,0,0
0.088801,0.015672,0,0
0.088873,7.20E-05,0,0
0.090098,0.001225,0,0
0.090502,0.000404,0,0
0.0934,0.002898,0,0
0.125889,0.032489,0,0
0.144719,0.01883,0,0
0.171544,0.026825,0,0
0.179537,0.007993,0,0
0.20248,0.022943,0,0
0.203293,0.000813,0,0
0.206821,0.003528,0,0
0.218283,0.011462,0,0
0.24013,0.021847,0,0
0.264489,0.024359,0,0
0.284893,0.020404,0,0
0.308163,0.02327,0,0
0.328751,0.020588,0,0
0.349042,0.020291,0,0
0.378541,0.029499,0,0
0.388737,0.010196,0,0
0.395693,0.006956,0,0
0.41131,0.015617,0,0
0.43164,0.02033,0,0
0.451943,0.020303,0,0
0.47227,0.020327,0,0
0.495023,0.022753,0,0
0.49748,0.002457,0,0
0.515624,0.018144,1,0
0.535933,0.020309,1,0
0.556223,0.02029,1,0
0.5781,0.021877,1,0
0.57944,0.00134,1,0
0.582457,0.003017,1,0
0.583952,0.001495,1,0
0.585775,0.001823,1,0
0.585836,6.10E-05,1,0
0.585891,5.50E-05,1,0
0.602728,0.016837,1,0
0.623407,0.020679,1,0
0.62654,0.003133,1,0
0.651412,0.024872,1,0
0.672585,0.021173,1,0
0.693698,0.021113,1,0
0.715333,0.021635,1,0
0.735692,0.020359,1,0
0.755982,0.02029,1,0
0.783927,0.027945,1,0
0.803136,0.019209,1,0
0.831195,0.028059,1,0
0.841731,0.010536,1,0
0.842905,0.001174,1,0
0.870811,0.027906,1,0
0.909476,0.038665,1,0
0.91052,0.001044,1,0
0.924801,0.014281,1,0
0.963421,0.03862,1,0
0.975809,0.012388,1,0
1.000826,0.025017,1,0
1.021497,0.020671,1,0
1.04801,0.026513,1,0
1.069377,0.021367,1,0
1.096346,0.026969,1,0
1.107884,0.011538,1,0
1.107945,6.10E-05,1,0
1.107991,4.60E-05,1,0
1.108029,3.80E-05,1,0
1.122469,0.01444,1,0
1.143278,0.020809,1,0
1.166816,0.023538,1,0
1.190582,0.023766,1,0
1.197603,0.007021,1,0
1.211057,0.013454,1,0
1.214052,0.002995,1,0
1.233527,0.019475,1,0
1.234675,0.001148,1,0
1.236134,0.001459,1,0
1.264114,0.02798,1,0
1.287418,0.023304,1,0
1.314841,0.027423,1,0
1.335673,0.020832,1,0
1.36834,0.032667,1,0
1.399051,0.030711,1,0
1.409241,0.01019,1,0
1.415164,0.005923,1,0
1.439744,0.02458,1,0
1.450481,0.010737,1,0
1.48783,0.037349,1,0
1.498017,0.010187,1,0
1.514631,0.016614,2,0.08
1.518443,0.003812,2,0.08
1.542292,0.023849,2,0.08
1.566688,0.024396,2,0.08
1.619498,0.05281,2,0.08
1.631318,0.01182,2,0.08
1.651699,0.020381,2,0.08
1.67553,0.023831,2,0.08
1.695858,0.020328,2,0.08
1.716873,0.021015,2,0.08
1.738915,0.022042,2,0.08
1.759237,0.020322,2,0.08
1.785502,0.026265,2,0.08
1.80889,0.023388,2,0.08
1.819408,0.010518,2,0.08
1.829562,0.010154,2,0.08
1.85174,0.022178,2,0.08
1.879555,0.027815,2,0.08
1.905415,0.02586,2,0.08
1.921803,0.016388,2,0.08
1.92187,6.70E-05,2,0.08
1.925721,0.003851,2,0.08
1.946634,0.020913,2,0.08
1.972487,0.025853,2,0.08
1.992759,0.020272,2,0.08
2.014897,0.022138,2,0.08
2.035154,0.020257,2,0.08
2.059539,0.024385,2,0.08
2.079961,0.020422,2,0.08
2.114258,0.034297,2,0.08
2.124453,0.010195,2,0.08
2.125191,0.000738,2,0.08
2.125773,0.000582,2,0.08
2.125838,6.50E-05,2,0.08
2.125886,4.80E-05,2,0.08
2.166334,0.040448,2,0.08
2.180358,0.014024,2,0.08
2.20663,0.026272,2,0.08
2.212849,0.006219,2,0.08
2.226419,0.01357,2,0.08
2.226869,0.00045,2,0.08
2.253071,0.026202,2,0.08
2.285143,0.032072,2,0.08
2.295356,0.010213,2,0.08
2.318187,0.022831,2,0.08
2.342928,0.024741,2,0.08
2.363253,0.020325,2,0.08
2.385351,0.022098,2,0.08
2.387926,0.002575,2,0.08
2.405686,0.01776,2,0.08
2.426874,0.021188,2,0.08
2.428783,0.001909,2,0.08
2.44888,0.020097,2,0.08
2.469174,0.020294,2,0.08
2.490324,0.02115,2,0.08
2.513329,0.023005,3,0.42
2.530303,0.016974,3,0.42
2.538451,0.008148,3,0.42
2.558728,0.020277,3,0.42
2.578993,0.020265,3,0.42
2.599294,0.020301,3,0.42
2.607199,0.007905,3,0.42
2.612091,0.004892,3,0.42
2.612157,6.60E-05,3,0.42
2.614768,0.002611,3,0.42
2.614835,6.70E-05,3,0.42
2.616943,0.002108,3,0.42
2.619558,0.002615,3,0.42
2.640122,0.020564,3,0.42
2.656149,0.016027,3,0.42
2.660492,0.004343,3,0.42
2.682645,0.022153,3,0.42
2.704121,0.021476,3,0.42
2.724435,0.020314,3,0.42
2.731228,0.006793,3,0.42
2.747042,0.015814,3,0.42
2.783703,0.036661,3,0.42
2.793883,0.01018,3,0.42
2.825271,0.031388,3,0.42
2.835471,0.0102,3,0.42
2.835857,0.000386,3,0.42
2.882283,0.046426,3,0.42
2.89284,0.010557,3,0.42
2.919574,0.026734,3,0.42
2.936981,0.017407,3,0.42
2.940143,0.003162,3,0.42
2.951254,0.011111,3,0.42
2.966525,0.015271,3,0.42
2.994218,0.027693,3,0.42
3.016287,0.022069,3,0.42
3.046539,0.030252,3,0.42
3.074417,0.027878,3,0.42
3.089477,0.01506,3,0.42
3.114003,0.024526,3,0.42
3.143129,0.029126,3,0.42
3.144067,0.000938,3,0.42
3.144139,7.20E-05,3,0.42
3.144191,5.20E-05,3,0.42
3.144242,5.10E-05,3,0.42
3.167009,0.022767,3,0.42
3.188551,0.021542,3,0.42
3.212497,0.023946,3,0.42
3.229125,0.016628,3,0.42
3.233186,0.004061,3,0.42
3.251341,0.018155,3,0.42
3.259279,0.007938,3,0.42
3.288046,0.028767,3,0.42
3.311431,0.023385,3,0.42
3.333657,0.022226,3,0.42
3.354354,0.020697,3,0.42
3.356468,0.002114,3,0.42
3.357995,0.001527,3,0.42
3.360011,0.002016,3,0.42
3.360707,0.000696,3,0.42
3.392499,0.031792,3,0.42
3.404613,0.012114,3,0.42
3.429724,0.025111,3,0.42
3.455412,0.025688,3,0.42
3.458471,0.003059,3,0.42
3.481696,0.023225,3,0.42
3.511715,0.030019,4,0.86
3.521934,0.010219,4,0.86
3.543404,0.02147,4,0.86
3.556951,0.013547,4,0.86
3.582593,0.025642,4,0.86
3.594013,0.01142,4,0.86
3.615777,0.021764,4,0.86
3.637032,0.021255,4,0.86
3.670136,0.033104,4,0.86
3.686572,0.016436,4,0.86
3.707388,0.020816,4,0.86
3.727748,0.02036,4,0.86
3.748339,0.020591,4,0.86
3.772921,0.024582,4,0.86
3.796671,0.02375,4,0.86
3.816959,0.020288,4,0.86
3.840313,0.023354,4,0.86
3.861148,0.020835,4,0.86
3.869564,0.008416,4,0.86
3.882205,0.012641,4,0.86
3.903999,0.021794,4,0.86
3.912517,0.008518,4,0.86
3.924594,0.012077,4,0.86
3.945399,0.020805,4,0.86
3.965696,0.020297,4,0.86
3.971887,0.006191,4,0.86
3.972032,0.000145,4,0.86
4.006436,0.034404,4,0.86
4.03754,0.031104,4,0.86
4.072833,0.035293,4,0.86
4.086319,0.013486,4,0.86
4.129791,0.043472,4,0.86
4.14254,0.012749,4,0.86
4.163256,0.020716,4,0.86
4.174426,0.01117,4,0.86
4.174498,7.20E-05,4,0.86
4.174547,4.90E-05,4,0.86
4.176842,0.002295,4,0.86
4.186847,0.010005,4,0.86
4.207122,0.020275,4,0.86
4.231781,0.024659,4,0.86
4.252553,0.020772,4,0.86
4.255685,0.003132,4,0.86
4.255983,0.000298,4,0.86
4.277152,0.021169,4,0.86
4.282657,0.005505,4,0.86
4.292852,0.010195,4,0.86
4.317717,0.024865,4,0.86
4.338001,0.020284,4,0.86
4.359585,0.021584,4,0.86
4.384909,0.025324,4,0.86
4.418695,0.033786,4,0.86
4.428917,0.010222,4,0.86
4.447705,0.018788,4,0.86
4.448525,0.00082,4,0.86
4.448586,6.10E-05,4,0.86
4.451205,0.002619,4,0.86
4.454148,0.002943,4,0.86
4.466937,0.012789,4,0.86
4.478617,0.01168,4,0.86
4.485846,0.007229,4,0.86
4.502904,0.017058,5,1.31
4.523186,0.020282,5,1.31
4.552089,0.028903,5,1.31
4.572584,0.020495,5,1.31
4.586647,0.014063,5,1.31
4.593951,0.007304,5,1.31
4.617831,0.02388,5,1.31
4.633996,0.016165,5,1.31
4.634166,0.00017,5,1.31
4.634508,0.000342,5,1.31
4.635321,0.000813,5,1.31
4.636406,0.001085,5,1.31
4.636966,0.00056,5,1.31
4.641661,0.004695,5,1.31
4.662119,0.020458,5,1.31
4.687562,0.025443,5,1.31
4.7111,0.023538,5,1.31
4.713711,0.002611,5,1.31
4.734193,0.020482,5,1.31
4.755839,0.021646,5,1.31
4.78253,0.026691,5,1.31
4.802795,0.020265,5,1.31
4.824845,0.02205,5,1.31
4.853387,0.028542,5,1.31
4.873686,0.020299,5,1.31
4.890511,0.016825,5,1.31
4.893946,0.003435,5,1.31
4.920364,0.026418,5,1.31
4.940645,0.020281,5,1.31
4.963118,0.022473,5,1.31
4.983777,0.020659,5,1.31
4.995176,0.011399,5,1.31
4.995249,7.30E-05,5,1.31
5.005534,0.010285,5,1.31
5.035268,0.029734,5,1.31
5.055931,0.020663,5,1.31
5.078236,0.022305,5,1.31
5.116394,0.038158,5,1.31
5.130637,0.014243,5,1.31
5.151904,0.021267,5,1.31
5.173841,0.021937,5,1.31
5.19706,0.023219,5,1.31
5.198123,0.001063,5,1.31
5.198195,7.20E-05,5,1.31
5.198236,4.10E-05,5,1.31
5.198274,3.80E-05,5,1.31
5.231918,0.033644,5,1.31
5.245834,0.013916,5,1.31
5.268275,0.022441,5,1.31
5.286741,0.018466,5,1.31
5.292095,0.005354,5,1.31
5.300201,0.008106,5,1.31
5.315442,0.015241,5,1.31
5.346311,0.030869,5,1.31
5.357117,0.010806,5,1.31
5.381376,0.024259,5,1.31
5.404021,0.022645,5,1.31
5.42605,0.022029,5,1.31
5.434967,0.008917,5,1.31
5.451674,0.016707,5,1.31
5.480799,0.029125,5,1.31
5.489514,0.008715,5,1.31
5.49088,0.001366,5,1.31
5.492249,0.001369,5,1.31
5.493992,0.001743,5,1.31
5.502002,0.00801,6,1.4
5.509481,0.007479,6,1.4
5.533363,0.023882,6,1.4
5.557477,0.024114,6,1.4
5.597504,0.040027,6,1.4
5.605785,0.008281,6,1.4
5.609289,0.003504,6,1.4
5.630748,0.021459,6,1.4
5.652882,0.022134,6,1.4
5.685442,0.03256,6,1.4
5.695616,0.010174,6,1.4
5.716554,0.020938,6,1.4
5.737281,0.020727,6,1.4
5.758315,0.021034,6,1.4
5.778805,0.02049,6,1.4
5.799081,0.020276,6,1.4
5.830975,0.031894,6,1.4
5.851668,0.020693,6,1.4
5.865927,0.014259,6,1.4
5.888344,0.022417,6,1.4
5.910416,0.022072,6,1.4
5.921242,0.010826,6,1.4
5.931458,0.010216,6,1.4
5.951745,0.020287,6,1.4
5.973109,0.021364,6,1.4
5.993391,0.020282,6,1.4
6.013155,0.019764,6,1.4
6.013625,0.00047,6,1.4
6.017689,0.004064,6,1.4
6.03894,0.021251,6,1.4
6.059467,0.020527,6,1.4
6.083679,0.024212,6,1.4
6.117475,0.033796,6,1.4
6.129031,0.011556,6,1.4
6.159133,0.030102,6,1.4
6.186144,0.027011,6,1.4
6.207963,0.021819,6,1.4
6.216238,0.008275,6,1.4
6.218084,0.001846,6,1.4
6.22057,0.002486,6,1.4
6.221521,0.000951,6,1.4
6.235826,0.014305,6,1.4
6.260834,0.025008,6,1.4
6.271307,0.010473,6,1.4
6.300167,0.02886,6,1.4
6.303014,0.002847,6,1.4
6.323767,0.020753,6,1.4
6.36319,0.039423,6,1.4
6.375626,0.012436,6,1.4
6.399787,0.024161,6,1.4
6.424591,0.024804,6,1.4
6.44927,0.024679,6,1.4
6.485377,0.036107,6,1.4
6.511985,0.026608,7,1.4
6.526307,0.014322,7,1.4
6.53364,0.007333,7,1.4
6.54419,0.01055,7,1.4
6.584128,0.039938,7,1.4
6.598142,0.014014,7,1.4
6.618585,0.020443,7,1.4
6.629491,0.010906,7,1.4
6.639665,0.010174,7,1.4
6.664814,0.025149,7,1.4
6.664886,7.20E-05,7,1.4
6.667637,0.002751,7,1.4
6.667705,6.80E-05,7,1.4
6.668269,0.000564,7,1.4
6.670624,0.002355,7,1.4
6.672089,0.001465,7,1.4
6.676494,0.004405,7,1.4
6.686914,0.01042,7,1.4
6.707436,0.020522,7,1.4
6.730567,0.023131,7,1.4
6.733951,0.003384,7,1.4
6.755155,0.021204,7,1.4
6.775762,0.020607,7,1.4
6.796042,0.02028,7,1.4
6.821097,0.025055,7,1.4
6.843111,0.022014,7,1.4
6.870513,0.027402,7,1.4
6.891208,0.020695,7,1.4
6.911488,0.02028,7,1.4
6.931822,0.020334,7,1.4
6.934338,0.002516,7,1.4
6.953225,0.018887,7,1.4
6.973503,0.020278,7,1.4
6.994358,0.020855,7,1.4
7.010683,0.016325,7,1.4
7.021272,0.010589,7,1.4
7.035376,0.014104,7,1.4
7.035476,0.0001,7,1.4
7.043785,0.008309,7,1.4
7.064059,0.020274,7,1.4
7.084484,0.020425,7,1.4
7.105714,0.02123,7,1.4
7.126851,0.021137,7,1.4
7.147248,0.020397,7,1.4
7.167537,0.020289,7,1.4
7.187891,0.020354,7,1.4
7.209551,0.02166,7,1.4
7.229864,0.020313,7,1.4
7.238437,0.008573,7,1.4
7.238506,6.90E-05,7,1.4
7.238814,0.000308,7,1.4
7.239558,0.000744,7,1.4
7.253575,0.014017,7,1.4
7.281559,0.027984,7,1.4
7.326081,0.044522,7,1.4
7.326551,0.00047,7,1.4
7.336369,0.009818,7,1.4
7.348981,0.012612,7,1.4
7.36653,0.017549,7,1.4
7.378428,0.011898,7,1.4
7.400369,0.021941,7,1.4
7.422746,0.022377,7,1.4
7.45737,0.034624,7,1.4
7.468495,0.011125,7,1.4
7.490661,0.022166,7,1.4
7.51348,0.022819,8,1.42
7.534056,0.020576,8,1.42
7.550131,0.016075,8,1.42
7.561981,0.01185,8,1.42
7.587532,0.025551,8,1.42
7.594799,0.007267,8,1.42
7.596622,0.001823,8,1.42
7.598026,0.001404,8,1.42
7.608682,0.010656,8,1.42
7.630124,0.021442,8,1.42
7.656833,0.026709,8,1.42
7.662351,0.005518,8,1.42
7.674589,0.012238,8,1.42
7.706031,0.031442,8,1.42
7.71666,0.010629,8,1.42
7.736951,0.020291,8,1.42
7.76724,0.030289,8,1.42
7.78749,0.02025,8,1.42
7.78858,0.00109,8,1.42
7.809083,0.020503,8,1.42
7.831165,0.022082,8,1.42
7.851911,0.020746,8,1.42
7.873338,0.021427,8,1.42
7.89363,0.020292,8,1.42
7.915097,0.021467,8,1.42
7.935454,0.020357,8,1.42
7.955788,0.020334,8,1.42
7.965209,0.009421,8,1.42
7.977531,0.012322,8,1.42
8.003149,0.025618,8,1.42
8.031159,0.02801,8,1.42
