Time,Packet Inter-arrival (ms),Time (s),avg_OSD.height [m]
0,0,0,0
3.80E-05,0.038,0,0
0.031062,31.024,0,0
0.031564,0.502,0,0
0.032414,0.85,0,0
0.032463,0.049,0,0
0.032492,0.029,0,0
0.032587,0.095,0,0
0.054961,22.374,0,0
0.065007,10.046,0,0
0.065125,0.118,0,0
0.065337,0.212,0,0
0.065541,0.204,0,0
0.065775,0.234,0,0
0.065852,0.077,0,0
0.072487,6.635,0,0
0.093917,21.43,0,0
0.094172,0.255,0,0
0.094361,0.189,0,0
0.097723,3.362,0,0
0.098182,0.459,0,0
0.098352,0.17,0,0
0.098899,0.547,0,0
0.099015,0.116,0,0
0.107824,8.809,0,0
0.131047,23.223,0,0
0.131554,0.507,0,0
0.131734,0.18,0,0
0.131909,0.175,0,0
0.132101,0.192,0,0
0.132588,0.487,0,0
0.15562,23.032,0,0
0.165075,9.455,0,0
0.165632,0.557,0,0
0.165853,0.221,0,0
0.166073,0.22,0,0
0.166296,0.223,0,0
0.166468,0.172,0,0
0.198525,32.057,0,0
0.199011,0.486,0,0
0.199229,0.218,0,0
0.200335,1.106,0,0
0.200374,0.039,0,0
0.200405,0.031,0,0
0.204729,4.324,0,0
0.209292,4.563,0,0
0.21178,2.488,0,0
0.221676,9.896,0,0
0.231622,9.946,0,0
0.231879,0.257,0,0
0.232279,0.4,0,0
0.232321,0.042,0,0
0.232536,0.215,0,0
0.232576,0.04,0,0
0.255056,22.48,0,0
0.265542,10.486,0,0
0.266036,0.494,0,0
0.267566,1.53,0,0
0.267611,0.045,0,0
0.297811,30.2,0,0
0.298316,0.505,0,0
0.298584,0.268,0,0
0.298681,0.097,0,0
0.331308,32.627,0,0
0.331849,0.541,0,0
0.332061,0.212,0,0
0.332286,0.225,0,0
0.333251,0.965,0,0
0.333295,0.044,0,0
0.355782,22.487,0,0
0.365526,9.744,0,0
0.366035,0.509,0,0
0.366254,0.219,0,0
0.366485,0.231,0,0
0.366649,0.164,0,0
0.374638,7.989,0,0
0.397456,22.818,0,0
0.403381,5.925,0,0
0.403913,0.532,0,0
0.404136,0.223,0,0
0.404363,0.227,0,0
0.404591,0.228,0,0
0.405121,0.53,0,0
0.405159,0.038,0,0
0.432868,27.709,0,0
0.433439,0.571,0,0
0.433567,0.128,0,0
0.433736,0.169,0,0
0.433911,0.175,0,0
0.434419,0.508,0,0
0.434622,0.203,0,0
0.456296,21.674,0,0
0.472719,16.423,0,0
0.473087,0.368,0,0
0.473313,0.226,0,0
0.473523,0.21,0,0
0.473759,0.236,0,0
0.474038,0.279,0,0
0.474115,0.077,0,0
0.491954,17.839,0,0
0.504243,12.289,1,0
0.504782,0.539,1,0
0.504992,0.21,1,0
0.505238,0.246,1,0
0.505431,0.193,1,0
0.50597,0.539,1,0
0.506063,0.093,1,0
0.526882,20.819,1,0
0.536414,9.532,1,0
0.536958,0.544,1,0
0.537171,0.213,1,0
0.537402,0.231,1,0
0.537597,0.195,1,0
0.53848,0.883,1,0
0.538538,0.058,1,0
0.538615,0.077,1,0
0.556981,18.366,1,0
0.570831,13.85,1,0
0.571337,0.506,1,0
0.571567,0.23,1,0
0.571799,0.232,1,0
0.572003,0.204,1,0
0.572228,0.225,1,0
0.572951,0.723,1,0
0.603218,30.267,1,0
0.603519,0.301,1,0
0.603561,0.042,1,0
0.60365,0.089,1,0
0.604068,0.418,1,0
0.604111,0.043,1,0
0.604253,0.142,1,0
0.604443,0.19,1,0
0.60461,0.167,1,0
0.604794,0.184,1,0
0.604979,0.185,1,0
0.605669,0.69,1,0
0.605851,0.182,1,0
0.605895,0.044,1,0
0.636484,30.589,1,0
0.636961,0.477,1,0
0.637138,0.177,1,0
0.637317,0.179,1,0
0.637494,0.177,1,0
0.63801,0.516,1,0
0.638149,0.139,1,0
0.643165,5.016,1,0
0.657588,14.423,1,0
0.670381,12.793,1,0
0.67095,0.569,1,0
0.671062,0.112,1,0
0.67126,0.198,1,0
0.671425,0.165,1,0
0.671941,0.516,1,0
0.672067,0.126,1,0
0.683358,11.291,1,0
0.70411,20.752,1,0
0.704613,0.503,1,0
0.704789,0.176,1,0
0.704971,0.182,1,0
0.705145,0.174,1,0
0.706527,1.382,1,0
0.706576,0.049,1,0
0.706606,0.03,1,0
0.736734,30.128,1,0
0.737301,0.567,1,0
0.737424,0.123,1,0
0.737628,0.204,1,0
0.737784,0.156,1,0
0.738315,0.531,1,0
0.738495,0.18,1,0
0.738581,0.086,1,0
0.758333,19.752,1,0
0.766022,7.689,1,0
0.766456,0.434,1,0
0.766554,0.098,1,0
0.766846,0.292,1,0
0.76692,0.074,1,0
0.767099,0.179,1,0
0.767599,0.5,1,0
0.767681,0.082,1,0
0.799218,31.537,1,0
0.79993,0.712,1,0
0.799975,0.045,1,0
0.800058,0.083,1,0
0.800889,0.831,1,0
0.800944,0.055,1,0
0.801034,0.09,1,0
0.802089,1.055,1,0
0.802129,0.04,1,0
0.802155,0.026,1,0
0.802181,0.026,1,0
0.827756,25.575,1,0
0.832412,4.656,1,0
0.832896,0.484,1,0
0.833068,0.172,1,0
0.83324,0.172,1,0
0.833888,0.648,1,0
0.834028,0.14,1,0
0.834213,0.185,1,0
0.834391,0.178,1,0
0.83457,0.179,1,0
0.834752,0.182,1,0
0.834827,0.075,1,0
0.860076,25.249,1,0
0.864533,4.457,1,0
0.872304,7.771,1,0
0.872764,0.46,1,0
0.872924,0.16,1,0
0.873181,0.257,1,0
0.873302,0.121,1,0
0.877244,3.942,1,0
0.877308,0.064,1,0
0.877339,0.031,1,0
0.877369,0.03,1,0
0.877398,0.029,1,0
0.877427,0.029,1,0
0.877456,0.029,1,0
0.898755,21.299,1,0
0.899304,0.549,1,0
0.899513,0.209,1,0
0.90017,0.657,1,0
0.900347,0.177,1,0
0.900582,0.235,1,0
0.90091,0.328,1,0
0.901086,0.176,1,0
0.901667,0.581,1,0
0.901867,0.2,1,0
0.902006,0.139,1,0
0.912866,10.86,1,0
0.913038,0.172,1,0
0.937654,24.616,1,0
0.938223,0.569,1,0
0.938415,0.192,1,0
0.938637,0.222,1,0
0.938858,0.221,1,0
0.93946,0.602,1,0
0.939704,0.244,1,0
0.939898,0.194,1,0
0.940119,0.221,1,0
0.940277,0.158,1,0
0.959797,19.52,1,0
0.965449,5.652,1,0
0.965969,0.52,1,0
0.966187,0.218,1,0
0.966411,0.224,1,0
0.966633,0.222,1,0
0.967194,0.561,1,0
0.96765,0.456,1,0
0.9677,0.05,1,0
0.967772,0.072,1,0
0.967878,0.106,1,0
0.975691,7.813,1,0
0.999575,23.884,1,0
1.000257,0.682,1,0
1.000307,0.05,1,0
1.000823,0.516,1,0
1.000992,0.169,1,0
1.001142,0.15,1,0
1.001322,0.18,1,0
1.001512,0.19,1,0
1.002195,0.683,1,0
1.002287,0.092,1,0
1.03208,29.793,1,0
1.032588,0.508,1,0
1.032737,0.149,1,0
1.032916,0.179,1,0
1.033095,0.179,1,0
1.03367,0.575,1,0
1.03383,0.16,1,0
1.03401,0.18,1,0
1.034196,0.186,1,0
1.034232,0.036,1,0
1.060574,26.342,1,0
1.065837,5.263,1,0
1.066237,0.4,1,0
1.066408,0.171,1,0
1.066586,0.178,1,0
1.067189,0.603,1,0
1.067349,0.16,1,0
1.067528,0.179,1,0
1.067714,0.186,1,0
1.067895,0.181,1,0
1.067973,0.078,1,0
1.083879,15.906,1,0
1.103853,19.974,1,0
1.104345,0.492,1,0
1.104521,0.176,1,0
1.104707,0.186,1,0
1.104876,0.169,1,0
1.105485,0.609,1,0
1.105667,0.182,1,0
1.105846,0.179,1,0
1.106027,0.181,1,0
1.106221,0.194,1,0
1.106385,0.164,1,0
1.106455,0.07,1,0
1.117945,11.49,1,0
1.118455,0.51,1,0
1.1185,0.045,1,0
1.126856,8.356,1,0
1.131864,5.008,1,0
1.13264,0.776,1,0
1.132691,0.051,1,0
1.132768,0.077,1,0
1.132914,0.146,1,0
1.133743,0.829,1,0
1.133795,0.052,1,0
1.133867,0.072,1,0
1.134037,0.17,1,0
1.134232,0.195,1,0
1.13431,0.078,1,0
1.161425,27.115,1,0
1.171051,9.626,1,0
1.171538,0.487,1,0
1.171704,0.166,1,0
1.171883,0.179,1,0
1.172054,0.171,1,0
1.172674,0.62,1,0
1.172802,0.128,1,0
1.172983,0.181,1,0
1.17317,0.187,1,0
1.173214,0.044,1,0
1.205915,32.701,1,0
1.206398,0.483,1,0
1.206577,0.179,1,0
1.206751,0.174,1,0
1.207374,0.623,1,0
1.207518,0.144,1,0
1.207707,0.189,1,0
1.207877,0.17,1,0
1.208055,0.178,1,0
1.20817,0.115,1,0
1.208383,0.213,1,0
1.219343,10.96,1,0
1.233093,13.75,1,0
1.233611,0.518,1,0
1.233788,0.177,1,0
1.233957,0.169,1,0
1.23414,0.183,1,0
1.234768,0.628,1,0
1.234947,0.179,1,0
1.235127,0.18,1,0
1.235314,0.187,1,0
1.235354,0.04,1,0
1.262374,27.02,1,0
1.270772,8.398,1,0
1.271408,0.636,1,0
1.271585,0.177,1,0
1.271761,0.176,1,0
1.271939,0.178,1,0
1.272382,0.443,1,0
1.272781,0.399,1,0
1.303817,31.036,1,0
